epoch,beta,lr,train_total_loss,train_recon_loss,train_mse_loss,train_ce_loss,train_kl_loss,train_contrast_loss,train_separation_loss,train_acc,train_proto_dist,train_intra_var_class_0,train_intra_var_class_1,train_intra_var_total,train_intra_var_weighted,val_total_loss,val_recon_loss,val_mse_loss,val_ce_loss,val_kl_loss,val_contrast_loss,val_separation_loss,val_acc,val_proto_dist,val_intra_var_class_0,val_intra_var_class_1,val_intra_var_total,val_intra_var_weighted
0,0.01,0.003,13.866252899169922,2.094601631164551,2.094601631164551,0.0,0.00677878875285387,7.463107109069824,4.308476448059082,0.0,0.6915236711502075,78.31333923339844,76.86994934082031,77.59164428710938,78.2590573614761,12.345879336819053,1.7349120378494263,1.7349120378494263,0.0,0.02275814674794674,6.279732704162598,4.308476448059082,0.0,0.6915236711502075,79.71761322021484,74.03120422363281,76.87440872192383,79.53681457519531
1,0.01,0.003,13.379972457885742,1.6561262607574463,1.6561262607574463,0.0,0.01060220506042242,7.357167720794678,4.366572856903076,0.0,0.6334273219108582,77.84990692138672,76.90619659423828,77.3780517578125,77.81441660558676,11.540445365943015,1.53072988986969,1.53072988986969,0.0,0.015336909331381321,5.627805709838867,4.366572856903076,0.0,0.6334273219108582,77.69197082519531,80.34894561767578,79.02045822143555,77.77644899808443
2,0.01,0.003,12.639533996582031,1.4773811101913452,1.4773811101913452,0.0,0.008785656653344631,6.729193687438965,4.432870864868164,0.0,0.5671290159225464,75.4745101928711,74.75776672363281,75.11613845825195,75.44755546816474,11.085872884839773,1.3789169788360596,1.3789169788360596,0.0,0.016211505979299545,5.25787353515625,4.432870864868164,0.0,0.5671290159225464,77.95274353027344,81.0986328125,79.52568817138672,78.05276667668268
3,0.01,0.003,12.148763656616211,1.299530029296875,1.299530029296875,0.0,0.010265289805829525,6.359036445617676,4.490094184875488,0.0,0.5099058747291565,72.4155502319336,71.67573547363281,72.0456428527832,72.38772786033266,10.78212671726942,1.1621719598770142,1.1621719598770142,0.0,0.017562083899974823,5.112298488616943,4.490094184875488,0.0,0.5099058747291565,79.17952728271484,82.66790008544922,80.92371368408203,79.29043964875049
4,0.01,0.003,11.840235710144043,1.0972880125045776,1.0972880125045776,0.0,0.01194683462381363,6.209408283233643,4.533420085906982,0.0,0.46657994389533997,71.90966796875,72.59342193603516,72.25154495239258,71.93538205021156,10.537609573453665,0.9418888688087463,0.9418888688087463,0.0,0.01864808425307274,5.043652534484863,4.533420085906982,0.0,0.46657994389533997,80.95122528076172,80.93250274658203,80.94186401367188,80.9506300001878
5,0.01,0.003,11.593244552612305,0.9031251072883606,0.9031251072883606,0.0,0.013428203761577606,6.142721652984619,4.547264099121094,0.0,0.4527359902858734,72.4057388305664,74.48373413085938,73.44473648071289,72.483886443575,10.336591895669699,0.7501261830329895,0.7501261830329895,0.0,0.019755717366933823,5.019445896148682,4.547264099121094,0.0,0.4527359902858734,81.29315185546875,82.63287353515625,81.9630126953125,81.33574813451523
6,0.01,0.003,11.383002281188965,0.7183117270469666,0.7183117270469666,0.0,0.014944619499146938,6.122884750366211,4.541656494140625,0.0,0.45834338665008545,72.83680725097656,72.36329650878906,72.60005187988281,72.81899983137814,10.185315294191241,0.6104331016540527,0.6104331016540527,0.0,0.021706266328692436,5.011519432067871,4.541656494140625,0.0,0.45834338665008545,86.74349212646484,86.86985778808594,86.80667495727539,86.74750990647536
7,0.01,0.003,11.210107803344727,0.5844160318374634,0.5844160318374634,0.0,0.016949165612459183,6.110223293304443,4.515298843383789,0.0,0.48470112681388855,76.66839599609375,76.72343444824219,76.69591522216797,76.67046583891701,10.06524415127933,0.5257548689842224,0.5257548689842224,0.0,0.022979749366641045,5.001210689544678,4.515298843383789,0.0,0.48470112681388855,92.1917953491211,93.87550354003906,93.03364944458008,92.2453286351913
8,0.01,0.003,11.067924499511719,0.4935198426246643,0.4935198426246643,0.0,0.018373599275946617,6.1001105308532715,4.4741106033325195,0.0,0.5258893966674805,80.32794189453125,79.13509368896484,79.73151779174805,80.28308219733488,9.938930032774806,0.449354350566864,0.449354350566864,0.0,0.024056730791926384,4.991408348083496,4.4741106033325195,0.0,0.5258893966674805,97.65564727783203,98.06980895996094,97.86272811889648,97.66881549541766
9,0.01,0.003,10.945405960083008,0.42682987451553345,0.42682987451553345,0.0,0.01956932619214058,6.0871806144714355,4.431199550628662,0.0,0.5688006281852722,84.8724136352539,84.42593383789062,84.64917373657227,84.85562277416987,9.823371378704906,0.38669466972351074,0.38669466972351074,0.0,0.025302616879343987,4.980174541473389,4.431199550628662,0.0,0.5688006281852722,106.69230651855469,106.92434692382812,106.8083267211914,106.69968421349158
