epoch,beta,lr,train_total_loss,train_recon_loss,train_mse_loss,train_ce_loss,train_kl_loss,train_contrast_loss,train_separation_loss,train_acc,train_proto_dist,val_total_loss,val_recon_loss,val_mse_loss,val_ce_loss,val_kl_loss,val_contrast_loss,val_separation_loss,val_acc,val_proto_dist
0,0.01,0.003,4.1380318450853055,1.8100011105078126,1.8100011105078126,0.0,0.6200201080412381,7.7394347810707895,0.0,0.0,3.081605511463457,9.015632569789886,1.3140428066253662,1.3140428066253662,0.0,0.8708698153495789,6.830719947814941,0.0,0.0,2.6134872436523438
1,0.01,0.003,3.243785673568156,1.0956120095841724,1.0956120095841724,0.0,0.5972445066216034,7.140670250365144,0.0,0.0,2.372679993304096,8.526315927505493,0.860486626625061,0.860486626625061,0.0,0.8542729616165161,6.811556339263916,0.0,0.0,2.3808465003967285
2,0.01,0.003,2.8605799401158047,0.7412248205124196,0.7412248205124196,0.0,0.657179400538751,7.04261095210797,0.0,0.0,2.60949161954475,8.134636342525482,0.5818985104560852,0.5818985104560852,0.0,0.8357244729995728,6.717013359069824,0.0,0.0,2.87355637550354
3,0.01,0.003,2.57526571674093,0.47516545058230264,0.47516545058230264,0.0,0.6753575328248377,6.977821935346499,0.0,0.0,3.3640024894150766,7.860123097896576,0.368361234664917,0.368361234664917,0.0,0.7921602129936218,6.699601650238037,0.0,0.0,3.723130226135254
4,0.01,0.003,2.414881378388909,0.31951171302882536,0.31951171302882536,0.0,0.6593344252808416,6.96258764047904,0.0,0.0,4.296739054734387,7.669077157974243,0.27602702379226685,0.27602702379226685,0.0,0.7255958914756775,6.667454242706299,0.0,0.0,4.684983253479004
5,0.01,0.003,2.3184185515990987,0.23593713513509126,0.23593713513509126,0.0,0.6224863508045752,6.920855117012209,0.0,0.0,5.126494424332529,7.489407390356064,0.1967528760433197,0.1967528760433197,0.0,0.6565780639648438,6.6360764503479,0.0,0.0,5.362842559814453
6,0.01,0.003,2.245210204414461,0.16938476155178256,0.16938476155178256,0.0,0.5803819243044742,6.900071870499633,0.0,0.0,5.545126637787646,7.365066260099411,0.13900187611579895,0.13900187611579895,0.0,0.6036168932914734,6.622447490692139,0.0,0.0,5.622623920440674
7,0.01,0.003,2.2044554871947732,0.1317700331005251,0.1317700331005251,0.0,0.5389069283297964,6.890987589165736,0.0,0.0,5.603128471439235,7.272013634443283,0.10292556881904602,0.10292556881904602,0.0,0.5458747744560242,6.623213291168213,0.0,0.0,5.594906330108643
8,0.01,0.003,2.1650088353058714,0.09245661352460859,0.09245661352460859,0.0,0.4951641339525732,6.892001546602342,0.0,0.0,5.553888505882397,7.22488484531641,0.10355240851640701,0.10355240851640701,0.0,0.4974968731403351,6.623835563659668,0.0,0.0,5.5303449630737305
9,0.01,0.003,2.1516165264715137,0.07948042040812817,0.07948042040812817,0.0,0.4561869750925904,6.8919139539439325,0.0,0.0,5.47597548333698,7.146938070654869,0.07059679925441742,0.07059679925441742,0.0,0.4542304277420044,6.622110843658447,0.0,0.0,5.442758083343506
10,0.01,0.003,2.1313401143565187,0.06051600993134682,0.06051600993134682,0.0,0.4224164172583042,6.888666112626448,0.0,0.0,5.3848858969978926,7.075394615530968,0.040678367018699646,0.040678367018699646,0.0,0.4176679849624634,6.617048263549805,0.0,0.0,5.348869323730469
11,0.01,0.003,2.1057055926266925,0.036439256237917515,0.036439256237917515,0.0,0.3911102363410428,6.88451694751402,0.0,0.0,5.3145641088174544,7.0371670462191105,0.036483798176050186,0.036483798176050186,0.0,0.38562101125717163,6.615062236785889,0.0,0.0,5.321803569793701
12,0.01,0.003,2.1059821681981297,0.037684632651459236,0.037684632651459236,0.0,0.3633730463261581,6.882212439332672,0.0,0.0,5.322850267185738,6.989559473469853,0.017304392531514168,0.017304392531514168,0.0,0.35769352316856384,6.614561557769775,0.0,0.0,5.330265998840332
13,0.01,0.003,2.087402571215389,0.019145390056744625,0.019145390056744625,0.0,0.33932770186944283,6.882879513357427,0.0,0.0,5.346002040659905,6.979843452572823,0.03186263144016266,0.03186263144016266,0.0,0.33469337224960327,6.613287448883057,0.0,0.0,5.355956554412842
14,0.01,0.003,2.092085348722736,0.02470625697067958,0.02470625697067958,0.0,0.3180756349455934,6.880660938675177,0.0,0.0,5.324324003307728,6.950310857966542,0.02325606532394886,0.02325606532394886,0.0,0.31326618790626526,6.613788604736328,0.0,0.0,5.318274974822998
15,0.01,0.003,2.0883175049709357,0.0210567628281666,0.0210567628281666,0.0,0.2989542172179773,6.880903457979159,0.0,0.0,5.3293385086218885,6.930098602548242,0.023515263572335243,0.023515263572335243,0.0,0.2948193848133087,6.611763954162598,0.0,0.0,5.331295967102051
16,0.01,0.003,2.085628257224716,0.018812080870519353,0.018812080870519353,0.0,0.2819009799616233,6.879990273124398,0.0,0.0,5.324835593194447,6.906709412112832,0.016406306996941566,0.016406306996941566,0.0,0.27789542078971863,6.612407684326172,0.0,0.0,5.332685947418213
17,0.01,0.003,2.082027836836713,0.015468252507453876,0.015468252507453876,0.0,0.26635306991910973,6.879653320770543,0.0,0.0,5.32540542766339,6.901365784928203,0.02703326754271984,0.02703326754271984,0.0,0.26285991072654724,6.6114726066589355,0.0,0.0,5.320296764373779
18,0.01,0.003,2.0833216772724215,0.016961897548951287,0.016961897548951287,0.0,0.2522644765638116,6.879456767274144,0.0,0.0,5.331413529803566,6.8870889544487,0.026747480034828186,0.026747480034828186,0.0,0.24926607310771942,6.611075401306152,0.0,0.0,5.348324298858643
19,0.01,0.003,2.084380688414627,0.018419916571378786,0.018419916571378786,0.0,0.23972100650352463,6.878544784158554,0.0,0.0,5.344584214846044,6.86473048850894,0.016189735382795334,0.016189735382795334,0.0,0.23701855540275574,6.611522197723389,0.0,0.0,5.3472137451171875
