epoch,beta,lr,train_total_loss,train_recon_loss,train_mse_loss,train_ce_loss,train_kl_loss,train_contrast_loss,train_separation_loss,train_acc,train_proto_dist,train_intra_var_class_0,train_intra_var_class_1,train_intra_var_total,train_intra_var_weighted,val_total_loss,val_recon_loss,val_mse_loss,val_ce_loss,val_kl_loss,val_contrast_loss,val_separation_loss,val_acc,val_proto_dist,val_intra_var_class_0,val_intra_var_class_1,val_intra_var_total,val_intra_var_weighted
10,0.01,0.003,2.172490229154809,0.09684854652513819,0.09684854652513819,0.0,0.35679676971650875,6.906912113474481,0.0,0.0,5.91250898993006,23.795043908967823,14.236178666734409,19.01561128785112,23.750827920744918,7.137678295373917,0.14331722259521484,0.14331722259521484,0.0,0.35513177514076233,6.6392292976379395,0.0,0.0,5.958722114562988,24.7096004486084,15.142242431640625,19.92592144012451,24.644868662296034
11,0.01,0.003,2.1744896503628715,0.0983600741156521,0.0983600741156521,0.0,0.32965797339149133,6.909443045869816,0.0,0.0,6.042198502777825,23.51164524164999,12.93315691413969,18.22240107789484,23.46082337124794,7.030693009495735,0.0624493807554245,0.0624493807554245,0.0,0.3274092972278595,6.640834331512451,0.0,0.0,6.137981414794922,23.439756393432617,12.6832914352417,18.061523914337158,23.366979228627535
12,0.01,0.003,2.147988880810181,0.07268883983080239,0.07268883983080239,0.0,0.30603885028294436,6.907465079657809,0.0,0.0,6.217353135977486,22.6202073451963,11.774692634850375,17.197449990023337,22.568462107207065,7.01402010768652,0.06764858216047287,0.06764858216047287,0.0,0.30438610911369324,6.6419854164123535,0.0,0.0,6.289015769958496,23.37546730041504,12.720719337463379,18.04809331893921,23.303378342614284
13,0.01,0.003,2.1445855930062505,0.06918994068449859,0.06918994068449859,0.0,0.28537975189829584,6.908472364983774,0.0,0.0,6.36654415879913,22.508512734931184,11.555190959383756,17.03185184715747,22.456528779888426,6.989640086889267,0.06781446933746338,0.06781446933746338,0.0,0.2849685847759247,6.636857032775879,0.0,0.0,6.426504611968994,22.244125366210938,12.246541976928711,17.245333671569824,22.176482718110247
14,0.01,0.003,2.1466579106793144,0.07242294023831063,0.07242294023831063,0.0,0.2682185634111057,6.905175481008133,0.0,0.0,6.468577859047591,21.75765084436188,11.391625065431368,16.574637954896623,21.70826953722646,6.979748509824276,0.07394548505544662,0.07394548505544662,0.0,0.26917439699172974,6.6366286277771,0.0,0.0,6.522154331207275,22.00522232055664,12.325652122497559,17.1654372215271,21.939731317863412
15,0.01,0.003,2.1257933156355278,0.052116759891564154,0.052116759891564154,0.0,0.25359318750205223,6.9038017165159875,0.0,0.0,6.543597833135053,21.386495862546088,11.459571051118393,16.42303345683224,21.339536387812714,6.933864697813988,0.04544763267040253,0.04544763267040253,0.0,0.25446444749832153,6.633952617645264,0.0,0.0,6.569310665130615,20.958415985107422,12.240134239196777,16.5992751121521,20.899428963822505
16,0.01,0.003,2.1181929214166866,0.0459165870414036,0.0459165870414036,0.0,0.23998683917401073,6.899587961439363,0.0,0.0,6.542876091740269,20.109355893654104,10.657304971406678,15.383330432530391,20.06608447067671,6.928058575838804,0.052909400314092636,0.052909400314092636,0.0,0.2399872988462448,6.635161876678467,0.0,0.0,6.550156593322754,21.641738891601562,10.979140281677246,16.310439586639404,21.569596817109517
17,0.01,0.003,2.1127244998630172,0.04053679768203195,0.04053679768203195,0.0,0.2275350721199498,6.899707306772509,0.0,0.0,6.561609072649146,20.29195985617323,10.259878138654445,15.275918997413836,20.244514297549077,6.886304145678878,0.029121359810233116,0.029121359810233116,0.0,0.22959546744823456,6.62758731842041,0.0,0.0,6.542663097381592,19.54861831665039,11.365959167480469,15.45728874206543,19.493255264220284
18,0.01,0.003,2.0926714172502687,0.021864700144975095,0.021864700144975095,0.0,0.21731473113811536,6.89544474054833,0.0,0.0,6.497056591638352,19.07470398875261,10.07056749199987,14.57263574037624,19.033049301390424,6.8596407771110535,0.016332030296325684,0.016332030296325684,0.0,0.21964246034622192,6.623666286468506,0.0,0.0,6.457120895385742,18.201139450073242,10.743667602539062,14.472403526306152,18.15068294230914
19,0.01,0.003,2.09171629425005,0.021251040049669358,0.021251040049669358,0.0,0.2083074316184037,6.894606973881573,0.0,0.0,6.407465300713093,19.066837121599555,9.802766915308654,14.434802018454105,19.02349204115941,6.854197457432747,0.02173052728176117,0.02173052728176117,0.0,0.21273073554039001,6.619736194610596,0.0,0.0,6.381612777709961,16.87442398071289,11.247383117675781,14.060903549194336,16.83635198569911
20,0.01,0.003,2.0938295244517136,0.025744707487704424,0.025744707487704424,0.0,0.2011586364443263,6.886910479985463,0.0,0.0,6.239218096607381,16.52880174252981,9.092622559427188,12.810712150978501,16.495814381676347,6.8511832766234875,0.025920744985342026,0.025920744985342026,0.0,0.2025289386510849,6.6227335929870605,0.0,0.0,6.197664737701416,18.561317443847656,9.93885326385498,14.250085353851318,18.50297871461902
21,0.01,0.003,2.1008612067168575,0.03243322970787575,0.03243322970787575,0.0,0.1922374606303651,6.888351756329637,0.0,0.0,6.144568901838692,17.283963165591885,8.945181584613374,13.114572375102629,17.245390098420422,6.83262425661087,0.01892140507698059,0.01892140507698059,0.0,0.1962011158466339,6.617501735687256,0.0,0.0,6.075200080871582,15.730762481689453,9.988238334655762,12.859500408172607,15.691909138340105
22,0.01,0.003,2.094542277073991,0.027167072562932097,0.027167072562932097,0.0,0.18547109410427345,6.885068186080602,0.0,0.0,5.951166839644418,15.633782465194667,8.216231949800488,11.925007207497577,15.60002019379849,6.855024863034487,0.04945332184433937,0.04945332184433937,0.0,0.18910454213619232,6.616466999053955,0.0,0.0,5.901191234588623,15.976051330566406,9.129672050476074,12.55286169052124,15.929729413921681
23,0.01,0.003,2.091655273781032,0.024767931340944436,0.024767931340944436,0.0,0.17888314861350132,6.883661132106517,0.0,0.0,5.8392643560102355,15.36128726537033,8.02792921908933,11.69460824222983,15.327556328187255,6.819505335763097,0.020121978595852852,0.020121978595852852,0.0,0.1821248084306717,6.617258548736572,0.0,0.0,5.800922870635986,15.824955940246582,8.323416709899902,12.074186325073242,15.77420127698307
24,0.01,0.003,2.0821934173263354,0.01537657590547474,0.01537657590547474,0.0,0.17180214399100907,6.883662503993533,0.0,0.0,5.752602783079653,15.112888785511357,7.60452212088726,11.358705453199308,15.077982594468393,6.805826583877206,0.01574810780584812,0.01574810780584812,0.0,0.17523939907550812,6.61483907699585,0.0,0.0,5.721563339233398,14.934486389160156,8.248106002807617,11.591296195983887,14.88924700900892
