step,mloss,gloss,loss
166.0,0.1354,0.5885,0.7239
167.0,0.1769,0.6372,0.8141
168.0,0.1137,0.6402,0.7539
169.0,0.1898,0.6361,0.8259
170.0,0.0798,0.5958,0.6756
171.0,0.1505,0.5782,0.7287
172.0,0.1124,0.5712,0.6836
173.0,0.0892,0.586,0.6752
174.0,0.0834,0.5984,0.6818000000000001
175.0,0.1451,0.5927,0.7378
176.0,0.1307,0.5868,0.7175
177.0,0.0759,0.5532,0.6291
178.0,0.1189,0.5719,0.6908
179.0,0.1357,0.5597,0.6954
180.0,0.1558,0.5733,0.7291000000000001
181.0,0.1251,0.566,0.6910999999999999
182.0,0.0718,0.5438,0.6155999999999999
183.0,0.1746,0.5819,0.7565
184.0,0.0849,0.526,0.6109
185.0,0.0862,0.5377,0.6238999999999999
186.0,0.0644,0.5239,0.5883
187.0,0.0951,0.5266,0.6216999999999999
188.0,0.0585,0.6253,0.6838
189.0,0.0697,0.8712,0.9409
190.0,0.1165,0.5957,0.7122
191.0,0.112,0.7078,0.8198
192.0,0.0737,0.6635,0.7372
193.0,0.0705,0.6503,0.7208
194.0,0.1982,0.6446,0.8428
195.0,0.1542,0.631,0.7852
196.0,0.0744,0.5916,0.666
197.0,0.124,0.6255,0.7494999999999999
198.0,0.1017,0.6017,0.7034
199.0,0.0994,0.5994,0.6988000000000001
200.0,0.0981,0.5814,0.6795
201.0,0.1508,0.5793,0.7301
202.0,0.095,0.5697,0.6647
203.0,0.1065,0.5667,0.6732
204.0,0.0761,0.5522,0.6283000000000001
205.0,0.0622,0.5703,0.6325000000000001
206.0,0.1069,0.5441,0.651
207.0,0.0829,0.5519,0.6347999999999999
208.0,0.0481,0.5533,0.6014
209.0,0.0774,0.5445,0.6219
210.0,0.1028,0.522,0.6248
211.0,0.0848,0.5173,0.6021
212.0,0.0428,0.5195,0.5622999999999999
213.0,0.082,0.5331,0.6151
214.0,0.0703,0.6738,0.7441
215.0,0.0669,0.8065,0.8734
216.0,0.1442,0.6222,0.7664
217.0,0.29,0.6282,0.9181999999999999
218.0,0.1151,0.5378,0.6528999999999999
219.0,0.1045,0.6043,0.7088
220.0,0.144,0.5937,0.7377
221.0,0.1103,0.5738,0.6840999999999999
222.0,0.0706,0.5573,0.6279
223.0,0.1158,0.5617,0.6775
224.0,0.1317,0.5501,0.6818000000000001
225.0,0.1183,0.5403,0.6586
226.0,0.0737,0.5493,0.623
227.0,0.046,0.5544,0.6004
228.0,0.0806,0.5556,0.6362
229.0,0.0921,0.5304,0.6224999999999999
230.0,0.1242,0.5422,0.6664
231.0,0.1098,0.5297,0.6395
232.0,0.1049,0.5463,0.6512
233.0,0.0892,0.5247,0.6139000000000001
234.0,0.1324,0.5253,0.6577
235.0,0.0658,0.5174,0.5831999999999999
236.0,0.1068,0.5248,0.6316
237.0,0.0601,0.5197,0.5798000000000001
238.0,0.1494,0.4988,0.6482
239.0,0.0935,0.511,0.6045
240.0,0.1402,0.5606,0.7008
241.0,0.0824,0.4985,0.5809
242.0,0.1349,0.5135,0.6484
243.0,0.0904,0.5195,0.6099
244.0,0.1028,0.515,0.6178
245.0,0.1188,0.4895,0.6083
246.0,0.0548,0.4978,0.5526
247.0,0.1503,0.4998,0.6501
248.0,0.2047,0.4909,0.6956
249.0,0.1225,0.4894,0.6119
250.0,0.0808,0.4757,0.5565
251.0,0.0857,0.4536,0.5393
252.0,0.1308,0.4594,0.5902
253.0,0.0829,0.4597,0.5426
254.0,0.1699,0.4672,0.6371
255.0,0.1193,0.4693,0.5886
256.0,0.0966,0.4644,0.5609999999999999
257.0,0.0958,0.4497,0.5455
258.0,0.1645,0.4763,0.6408
259.0,0.0742,0.4605,0.5347000000000001
260.0,0.053,0.4481,0.5011
261.0,0.1013,0.4479,0.5492
262.0,0.0946,0.4986,0.5932
263.0,0.0955,0.5517,0.6472
264.0,0.0562,0.5888,0.645
265.0,0.1066,0.5396,0.6462
266.0,0.071,0.4706,0.5416
267.0,0.1125,0.51,0.6225
268.0,0.0762,0.4735,0.5497
269.0,0.1034,0.5092,0.6126
270.0,0.1614,0.4632,0.6246
271.0,0.0558,0.5003,0.5560999999999999
272.0,0.0873,0.4795,0.5668
273.0,0.0755,0.4917,0.5672
274.0,0.1123,0.4499,0.5622
275.0,0.0794,0.4852,0.5646
276.0,0.1451,0.4429,0.5880000000000001
277.0,0.1307,0.4527,0.5834
278.0,0.0717,0.4692,0.5409
279.0,0.0924,0.474,0.5664
280.0,0.1289,0.433,0.5619
281.0,0.0894,0.4525,0.5419
282.0,0.1054,0.4512,0.5566
283.0,0.1539,0.446,0.5999
284.0,0.1198,0.5091,0.6289
285.0,0.113,0.4991,0.6121
286.0,0.1132,0.4904,0.6036
287.0,0.0758,0.4798,0.5556
288.0,0.1808,0.4742,0.655
289.0,0.1052,0.4876,0.5928
290.0,0.3235,0.4883,0.8118000000000001
291.0,0.3347,0.4867,0.8214
292.0,0.0693,0.5261,0.5954
293.0,0.1101,0.5036,0.6137
294.0,0.0743,0.4792,0.5535
295.0,0.0758,0.4961,0.5719
296.0,0.0966,0.4954,0.592
297.0,0.115,0.4798,0.5948
298.0,0.0687,0.5097,0.5784
299.0,0.1336,0.4706,0.6042000000000001
300.0,0.1084,0.4595,0.5679000000000001
301.0,0.1197,0.494,0.6137
302.0,0.1069,0.4694,0.5763
303.0,0.066,0.4542,0.5202
304.0,0.1403,0.4942,0.6345
305.0,0.0934,0.4512,0.5446
306.0,0.15,0.4759,0.6259
307.0,0.0556,0.4875,0.5431
308.0,0.0734,0.4562,0.5296
309.0,0.0667,0.4506,0.5173
310.0,0.079,0.4832,0.5622
311.0,0.1229,0.473,0.5959
312.0,0.1063,0.4564,0.5627
313.0,0.1108,0.4397,0.5505
314.0,0.094,0.4607,0.5547
315.0,0.1174,0.4199,0.5373
316.0,0.0927,0.4582,0.5509
317.0,0.103,0.4537,0.5567
318.0,0.0777,0.4574,0.5351
319.0,0.1928,0.4456,0.6384
320.0,0.1014,0.4678,0.5692
321.0,0.1294,0.4413,0.5707
322.0,0.1368,0.4578,0.5946
323.0,0.0795,0.4506,0.5301
324.0,0.0841,0.4469,0.531
325.0,0.1367,0.4677,0.6044
326.0,0.0796,0.4372,0.5167999999999999
327.0,0.1181,0.4288,0.5469
328.0,0.0582,0.4472,0.5054
329.0,0.1019,0.4534,0.5553
330.0,0.1132,0.4538,0.567
331.0,0.0964,0.4657,0.5621
332.0,0.1651,0.4555,0.6206
333.0,0.066,0.4709,0.5368999999999999
334.0,0.1038,0.4463,0.5501
335.0,0.0598,0.4203,0.4801
336.0,0.0946,0.404,0.49860000000000004
337.0,0.1614,0.4335,0.5949
338.0,0.0815,0.4143,0.4958
339.0,0.0677,0.4492,0.5169
340.0,0.0826,0.4514,0.534
341.0,0.1795,0.4274,0.6069
342.0,0.0627,0.4284,0.4911
343.0,0.1054,0.4647,0.5701
344.0,0.0777,0.4551,0.5328
345.0,0.0671,0.5265,0.5936
346.0,0.1591,0.5129,0.672
347.0,0.1336,0.4351,0.5687
348.0,0.0904,0.425,0.5154
349.0,0.0977,0.4791,0.5768
350.0,0.1105,0.4401,0.5506
351.0,0.078,0.4332,0.5112
352.0,0.0964,0.4458,0.5422
353.0,0.1836,0.4293,0.6129
354.0,0.0797,0.4467,0.5264
355.0,0.1303,0.4113,0.5416
356.0,0.0999,0.4179,0.5178
357.0,0.0505,0.4228,0.4733
358.0,0.0906,0.4186,0.5092
359.0,0.0742,0.4036,0.4778
360.0,0.173,0.4083,0.5812999999999999
361.0,0.0813,0.4282,0.5095000000000001
362.0,0.0943,0.423,0.5173
363.0,0.1429,0.4277,0.5706
364.0,0.1123,0.4353,0.5476
365.0,0.0896,0.4007,0.4903
366.0,0.0982,0.4205,0.5186999999999999
367.0,0.1233,0.3977,0.521
368.0,0.0656,0.4036,0.4692
369.0,0.0638,0.4229,0.4867
370.0,0.0961,0.4071,0.5032
371.0,0.0602,0.4237,0.4839
372.0,0.1001,0.4168,0.5169
373.0,0.1918,0.4288,0.6206
374.0,0.0845,0.4548,0.5393
375.0,0.1296,0.4425,0.5721
376.0,0.0781,0.4838,0.5619000000000001
377.0,0.1072,0.4513,0.5585
378.0,0.6382,0.4349,1.0731
379.0,0.1212,0.4607,0.5819
380.0,0.1038,0.4037,0.5075000000000001
381.0,0.0907,0.4466,0.5373
382.0,0.0867,0.429,0.5157
383.0,0.2136,0.4483,0.6618999999999999
384.0,0.1483,0.4409,0.5892
385.0,0.1214,0.4533,0.5747
386.0,0.2849,0.4618,0.7466999999999999
387.0,0.0942,0.4508,0.5449999999999999
388.0,0.1126,0.4757,0.5883
389.0,0.0804,0.4648,0.5452
390.0,0.072,0.4576,0.5296
391.0,0.0987,0.433,0.5317
392.0,0.1294,0.4269,0.5563
393.0,0.0874,0.4694,0.5568
394.0,0.0797,0.4392,0.5188999999999999
395.0,0.182,0.4001,0.5821000000000001
396.0,0.1155,0.4481,0.5636
397.0,0.1047,0.441,0.5457
398.0,0.0848,0.4386,0.5234
399.0,0.0945,0.4384,0.5329
400.0,0.0934,0.4075,0.5009
401.0,0.0733,0.4241,0.49739999999999995
402.0,0.0807,0.4278,0.5085
403.0,0.058,0.4136,0.4716
404.0,0.074,0.4093,0.4833
405.0,0.1484,0.4361,0.5845
406.0,0.0683,0.4275,0.4958
407.0,0.0623,0.4081,0.47040000000000004
408.0,0.0709,0.4468,0.5176999999999999
409.0,0.0738,0.4611,0.5349
410.0,0.3113,0.4636,0.7749
411.0,0.1631,0.4216,0.5847
412.0,0.2094,0.4064,0.6158
413.0,0.277,0.4397,0.7167
414.0,0.0686,0.4319,0.5005
415.0,0.0953,0.4292,0.5245
416.0,0.1064,0.4458,0.5522
417.0,0.0644,0.4548,0.5192
418.0,0.1086,0.4525,0.5611
419.0,0.1707,0.4287,0.5994
