epoch,beta,lr,train_total_loss,train_recon_loss,train_mse_loss,train_ce_loss,train_kl_loss,train_contrast_loss,train_separation_loss,train_acc,train_proto_dist,train_intra_var_class_0,train_intra_var_class_1,train_intra_var_total,train_intra_var_weighted,val_total_loss,val_recon_loss,val_mse_loss,val_ce_loss,val_kl_loss,val_contrast_loss,val_separation_loss,val_acc,val_proto_dist,val_intra_var_class_0,val_intra_var_class_1,val_intra_var_total,val_intra_var_weighted
14,0.01,0.003,2.353253013002938,0.08005740302555307,0.08005740302555307,0.0,0.10192097289790625,7.573921126692017,0.0,0.0,8.17054904244706,32.74131498483664,54.65899478371664,43.70015488427664,33.07919286032378,6.8961565643548965,0.07131899893283844,0.07131899893283844,0.0,0.10265719890594482,6.722180366516113,0.0,0.0,8.23409366607666,35.46892166137695,56.93965530395508,46.204288482666016,35.835048666244305
15,0.01,0.003,2.344872197853433,0.07169656166906489,0.07169656166906489,0.0,0.09885130444003347,7.5739567738480496,0.0,0.0,8.57623242572654,31.16768051880329,54.309221031210875,42.73845077500708,31.52301193173577,6.865949884057045,0.04891681671142578,0.04891681671142578,0.0,0.09825588762760162,6.718777179718018,0.0,0.0,8.612192153930664,31.209529876708984,52.18364715576172,41.69658851623535,31.56718839303875
16,0.01,0.003,2.3210040090974644,0.04929786643314318,0.04929786643314318,0.0,0.09489521955236446,7.569190267171041,0.0,0.0,8.850468524533568,27.104864670134376,49.727200264409205,38.41603246727179,27.452495380283118,6.848551739007235,0.044516172260046005,0.044516172260046005,0.0,0.09381284564733505,6.7102227210998535,0.0,0.0,8.848834037780762,26.546342849731445,46.003177642822266,36.274760246276855,26.878128095898646
17,0.01,0.003,2.311482856678795,0.041791249321361836,0.041791249321361836,0.0,0.09095171792128788,7.562606802188332,0.0,0.0,8.970643411445668,23.594746098011786,44.24036529250258,33.917555695257185,23.910393387553775,6.83972368016839,0.039471086114645004,0.039471086114645004,0.0,0.09004370123147964,6.710208892822266,0.0,0.0,8.935709953308105,23.930009841918945,41.696407318115234,32.81320858001709,24.232969116787093
18,0.01,0.003,2.304318154396509,0.03428881922680851,0.03428881922680851,0.0,0.08764461842172297,7.563842902261948,0.0,0.0,9.012557271441104,21.63788776701407,40.71680719091325,31.17734747896366,21.92773356446396,6.834039080888033,0.03783973678946495,0.03783973678946495,0.0,0.08697845786809921,6.709220886230469,0.0,0.0,8.969783782958984,21.792402267456055,39.304805755615234,30.548604011535645,22.091030341553775
19,0.01,0.003,2.301812130114765,0.032509496407323236,0.032509496407323236,0.0,0.08487833386977016,7.561512309557089,0.0,0.0,8.954772036121023,19.65894774623902,38.59067131825136,29.124809532245187,19.94633723313489,6.842160150408745,0.04957805573940277,0.04957805573940277,0.0,0.08403879404067993,6.708543300628662,0.0,0.0,8.875843048095703,20.22011947631836,38.184608459472656,29.202363967895508,20.526456681877626
20,0.01,0.003,2.31393113032983,0.04464051253263212,0.04464051253263212,0.0,0.08222940248512345,7.56156066166642,0.0,0.0,8.886478228657403,18.651762517990317,38.70208121080431,28.67692186439731,18.957465650518145,6.824089217931032,0.033381905406713486,0.033381905406713486,0.0,0.0811893567442894,6.709517955780029,0.0,0.0,8.836621284484863,19.226654052734375,39.32223129272461,29.274442672729492,19.569331374731775
21,0.01,0.003,2.3034344659838655,0.034162384261703156,0.034162384261703156,0.0,0.07923474297398098,7.561598835026306,0.0,0.0,8.884939991316948,17.60650707405188,38.157835030113866,27.88217105208287,17.923779127897156,6.809939788654447,0.024674037471413612,0.024674037471413612,0.0,0.07726175338029861,6.708003997802734,0.0,0.0,8.830888748168945,16.782196044921875,33.50600814819336,25.144102096557617,17.067376762882656
22,0.01,0.003,2.291628246113203,0.022937505371543827,0.022937505371543827,0.0,0.07562047211612308,7.559781279647297,0.0,0.0,8.772257880298254,15.6475013012489,32.61488482286836,24.13119306205863,15.906811726121298,6.811065202578902,0.029424695298075676,0.029424695298075676,0.0,0.07431934028863907,6.7073211669921875,0.0,0.0,8.676929473876953,15.765734672546387,31.929126739501953,23.84743070602417,16.04135889780507
23,0.01,0.003,2.294044615923036,0.0251420523248821,0.0251420523248821,0.0,0.07276534690142175,7.560582537714541,0.0,0.0,8.595422485857402,14.888245114331704,30.83684865403381,22.862546884182755,15.1309750645816,6.813901338726282,0.03477991744875908,0.03477991744875908,0.0,0.0714898332953453,6.707631587982178,0.0,0.0,8.519144058227539,15.000265121459961,30.920303344726562,22.96028423309326,15.271739585681315
24,0.01,0.003,2.3037548831908827,0.034940157436695964,0.034940157436695964,0.0,0.07006199024296778,7.5603800688733385,0.0,0.0,8.512764424637943,14.363437037466712,29.735519069630804,22.049478053548757,14.598548503060218,6.787554451264441,0.013609499670565128,0.013609499670565128,0.0,0.0686856284737587,6.705259323120117,0.0,0.0,8.45262336730957,14.150236129760742,29.19730567932129,21.673770904541016,14.406824404661897
25,0.01,0.003,2.282100302530188,0.013898059766116294,0.013898059766116294,0.0,0.06751741935272684,7.55842291384632,0.0,0.0,8.47014549910571,13.56133312981112,28.63556759564692,21.098450362729018,13.790003156948265,6.791240748018026,0.01990615203976631,0.01990615203976631,0.0,0.06675095111131668,6.704583644866943,0.0,0.0,8.426273345947266,13.777287483215332,30.980321884155273,22.378804683685303,14.07064007957728
26,0.01,0.003,2.284707504039457,0.016692516532527485,0.016692516532527485,0.0,0.0659127657495476,7.5578528801040035,0.0,0.0,8.519515861266278,13.456048818830721,31.836555847391015,22.646302333110867,13.737022274189599,6.808066062629223,0.03820131719112396,0.03820131719112396,0.0,0.06485909968614578,6.705005645751953,0.0,0.0,8.493692398071289,13.622146606445312,31.965450286865234,22.793798446655273,13.934943502335544
27,0.01,0.003,2.308120770667247,0.04004650854140217,0.04004650854140217,0.0,0.06389376166376548,7.558117452286392,0.0,0.0,8.571496649094643,13.180703619695835,31.374992097771468,22.277847858733654,13.46199151723449,6.780234893783927,0.01252097450196743,0.01252097450196743,0.0,0.06262101233005524,6.705092906951904,0.0,0.0,8.529557228088379,13.014310836791992,29.78767967224121,21.4009952545166,13.300336614741187
28,0.01,0.003,2.2899680454405504,0.022090921085595277,0.022090921085595277,0.0,0.06177053684760123,7.557531296693448,0.0,0.0,8.558948404824445,12.781468028718514,29.403147605591297,21.092307817154907,13.037245364327308,6.795635774731636,0.031297191977500916,0.031297191977500916,0.0,0.0608573853969574,6.703481197357178,0.0,0.0,8.503820419311523,13.017568588256836,30.40677833557129,21.712173461914062,13.314095916469263
29,0.01,0.003,2.28985393305604,0.02211054275894143,0.02211054275894143,0.0,0.06030593782223818,7.557133887213038,0.0,0.0,8.587744450699844,12.74672790035446,31.925486382166046,22.336107141260253,13.03883690710822,6.791401667520404,0.027379335835576057,0.027379335835576057,0.0,0.059627991169691086,6.704394340515137,0.0,0.0,8.57491683959961,13.02951717376709,34.78535842895508,23.907437801361084,13.400505940603427
30,0.01,0.003,2.288492875197512,0.020783731952373787,0.020783731952373787,0.0,0.05857304904607001,7.557077570392208,0.0,0.0,8.686181133143805,12.66505187997243,31.907403864769673,22.28622787237105,12.968322468376508,6.796971932053566,0.036093685775995255,0.036093685775995255,0.0,0.05697695538401604,6.703901290893555,0.0,0.0,8.63982105255127,12.598227500915527,27.254711151123047,19.926469326019287,12.848155358531733
31,0.01,0.003,2.3097013999014915,0.04205919964094599,0.04205919964094599,0.0,0.05629771148153398,7.5569306044751565,0.0,0.0,8.588084761575507,12.354104604897813,26.804710153187887,19.57940737904285,12.573793677616543,6.774131436832249,0.013990924693644047,0.013990924693644047,0.0,0.05531606450676918,6.704824447631836,0.0,0.0,8.508101463317871,12.577372550964355,27.21387481689453,19.895623683929443,12.826959678519804
32,0.01,0.003,2.293420001129294,0.02526064527677326,0.02526064527677326,0.0,0.054805370237794006,7.558704064054795,0.0,0.0,8.509663125548217,12.5945909831705,27.655074571386947,20.124832777278723,12.82223982600623,6.829645201563835,0.070068359375,0.070068359375,0.0,0.05426411330699921,6.705312728881836,0.0,0.0,8.469900131225586,13.13156509399414,31.524391174316406,22.327978134155273,13.445206464425945
33,0.01,0.003,2.3205701632712534,0.05266789097705512,0.05266789097705512,0.0,0.05352877754221166,7.557889687177936,0.0,0.0,8.542936765441258,12.597977762712695,29.469971758614193,21.033974760663444,12.858872630707559,6.772989699617028,0.017406968399882317,0.017406968399882317,0.0,0.052339475601911545,6.703243255615234,0.0,0.0,8.50024127960205,12.031885147094727,27.130422592163086,19.581153869628906,12.289351071858377
34,0.01,0.003,2.2995013616253708,0.03210587788949869,0.03210587788949869,0.0,0.051872147458693715,7.556255626852722,0.0,0.0,8.503573283487,12.062990142047576,26.953178759251024,19.5080844506493,12.290337100037705,6.784221647307277,0.028888778761029243,0.028888778761029243,0.0,0.0511731319129467,6.704159736633301,0.0,0.0,8.446691513061523,12.86884593963623,28.977474212646484,20.923160076141357,13.143536312135797
35,0.01,0.003,2.2889410786639925,0.02096358167857935,0.02096358167857935,0.0,0.050756048996519774,7.558233025490351,0.0,0.0,8.504330047830468,12.863055933427326,29.114615422196316,20.98883567781182,13.110890097980304,6.793726969510317,0.03847501054406166,0.03847501054406166,0.0,0.050127580761909485,6.705124378204346,0.0,0.0,8.475093841552734,13.215059280395508,31.6783390045166,22.446699142456055,13.529902052792213
36,0.01,0.003,2.3039362571221425,0.03611634353322107,0.03611634353322107,0.0,0.04944644650651997,7.557751297483989,0.0,0.0,8.544434652226428,12.692826801540024,28.86566795502466,20.779247378282342,12.943994540516,6.7631987957283854,0.011734339408576488,0.011734339408576488,0.0,0.0482688844203949,6.703195571899414,0.0,0.0,8.495914459228516,11.727799415588379,25.718801498413086,18.723300457000732,11.966379231860664
37,0.01,0.003,2.2860406547885934,0.018670450950965686,0.018670450950965686,0.0,0.047904130825989245,7.556303620618493,0.0,0.0,8.478086793183097,11.834204320775656,25.41326825085398,18.623736285814818,12.040518976757713,6.78048948943615,0.02880946174263954,0.02880946174263954,0.0,0.047389160841703415,6.704290866851807,0.0,0.0,8.416643142700195,13.021169662475586,28.59165382385254,20.806411743164062,13.286683399697605
38,0.01,0.003,2.2891259623457576,0.021132018483000538,0.021132018483000538,0.0,0.047207731767201416,7.55840560581503,0.0,0.0,8.494396823095423,13.12786544778894,29.718545872372893,21.423205660080917,13.378863513889776,6.769447291269898,0.016940781846642494,0.016940781846642494,0.0,0.04698683321475983,6.705519676208496,0.0,0.0,8.479595184326172,13.442963600158691,35.10149002075195,24.272226810455322,13.812292917927639
39,0.01,0.003,2.288170181656282,0.020379676000528472,0.020379676000528472,0.0,0.046434144841235286,7.557753799043166,0.0,0.0,8.606903312412262,12.897702076204201,32.26628733340955,22.581994704806878,13.201486539977614,6.7610919540748,0.012816212140023708,0.012816212140023708,0.0,0.04513262212276459,6.703143119812012,0.0,0.0,8.574603080749512,11.566426277160645,26.749372482299805,19.157899379730225,11.825331571767158
40,0.01,0.003,2.2801919498757264,0.012971965806119687,0.012971965806119687,0.0,0.044833338766691114,7.555904800168094,0.0,0.0,8.572181115913441,11.543587028684643,26.412063497564745,18.977825263124693,11.771740565129466,6.7647459879517555,0.01626726984977722,0.01626726984977722,0.0,0.04418785125017166,6.704290866851807,0.0,0.0,8.509903907775879,12.806241989135742,28.456226348876953,20.631234169006348,13.073111393564947
41,0.01,0.003,2.2815818677089195,0.013672847255307883,0.013672847255307883,0.0,0.044063729009656924,7.558227684565669,0.0,0.0,8.57374847803437,13.050957293897532,29.562109952930122,21.306533623413827,13.30132292979257,6.75886298250407,0.009986541233956814,0.009986541233956814,0.0,0.04379545524716377,6.705080986022949,0.0,0.0,8.553938865661621,13.31328296661377,34.061859130859375,23.687571048736572,13.667095471241588
42,0.01,0.003,2.278261905362481,0.010669267697965265,0.010669267697965265,0.0,0.04337390265431176,7.557196440132876,0.0,0.0,8.660986209531828,12.690857777736168,31.389181342706205,22.040019560221186,12.98325856700948,6.757460883818567,0.01235999446362257,0.01235999446362257,0.0,0.04230252280831337,6.702798366546631,0.0,0.0,8.621160507202148,11.387985229492188,26.86583709716797,19.126911163330078,11.6519193660908
43,0.01,0.003,2.279576083942295,0.012509133648278041,0.012509133648278041,0.0,0.04209707906366141,7.555486331437842,0.0,0.0,8.615583175842398,11.335254389385243,26.7383833327327,19.036818861058972,11.571446679398337,6.755744529888034,0.010557150468230247,0.010557150468230247,0.0,0.0416165366768837,6.70357084274292,0.0,0.0,8.554597854614258,12.378117561340332,29.678319931030273,21.028218746185303,12.673127102358189
44,0.01,0.003,2.2791659656500762,0.011524576778129555,0.011524576778129555,0.0,0.0415579631197269,7.557419285392114,0.0,0.0,8.635806471272755,12.68689436353675,30.970434909263936,21.828664636400344,12.96547202521284,6.757687640376389,0.011324075050652027,0.011324075050652027,0.0,0.04139082133769989,6.704972743988037,0.0,0.0,8.621236801147461,13.389511108398438,36.45386505126953,24.921688079833984,13.782813124476629
45,0.01,0.003,2.2792798246176056,0.011717683982071974,0.011717683982071974,0.0,0.04098286105918374,7.557174095625792,0.0,0.0,8.744686362949372,12.820796218748598,33.32334265214785,23.072069435448224,13.143206562270262,6.751495121046901,0.008584218099713326,0.008584218099713326,0.0,0.039934199303388596,6.702976703643799,0.0,0.0,8.706526756286621,11.371750831604004,27.642013549804688,19.506882190704346,11.649197455300484
