step,mloss,gloss,loss
165.0,0.4108,1.0297,1.4405000000000001
166.0,0.3775,0.9886,1.3661
167.0,0.4603,1.0064,1.4667
168.0,0.4376,0.9913,1.4289
169.0,0.436,1.0257,1.4617
170.0,0.3829,0.984,1.3669
171.0,0.4445,1.0295,1.4740000000000002
172.0,0.4051,0.9827,1.3878
173.0,0.433,1.0184,1.4514
174.0,0.3985,1.0078,1.4063
175.0,0.4557,0.9986,1.4543
176.0,0.3738,1.021,1.3948
177.0,0.4922,1.011,1.5031999999999999
178.0,0.4264,0.9877,1.4141
179.0,0.4171,1.0159,1.433
180.0,0.4558,0.9894,1.4451999999999998
181.0,0.428,0.9721,1.4001
182.0,0.4379,0.9756,1.4135
183.0,0.4197,0.9712,1.3909
184.0,0.4604,0.9902,1.4506
185.0,0.4606,1.0144,1.475
186.0,0.3868,0.9724,1.3592
187.0,0.4337,0.9558,1.3895
188.0,0.4049,0.9819,1.3868
189.0,0.433,0.995,1.428
190.0,0.4328,0.963,1.3958
191.0,0.4468,0.994,1.4407999999999999
192.0,0.4866,0.9846,1.4712
193.0,0.4256,0.9551,1.3807
194.0,0.4518,0.97,1.4218
195.0,0.3778,0.9476,1.3254000000000001
196.0,0.4829,0.9749,1.4578
197.0,0.3812,0.9805,1.3617
198.0,0.4803,0.9639,1.4442
199.0,0.4284,0.9626,1.391
200.0,0.4372,0.9952,1.4324
201.0,0.4389,0.991,1.4299
202.0,0.4376,0.9731,1.4106999999999998
203.0,0.3842,0.964,1.3481999999999998
204.0,0.3623,1.0065,1.3688
205.0,0.4464,1.0027,1.4491
206.0,0.4349,1.0065,1.4414
207.0,0.3856,0.9582,1.3438
208.0,0.4414,0.9773,1.4186999999999999
209.0,0.3595,0.9971,1.3566
210.0,0.4267,0.9784,1.4051
211.0,0.4312,0.9595,1.3907
212.0,0.4026,0.9767,1.3793
213.0,0.4486,0.9668,1.4154
214.0,0.417,0.9707,1.3877
215.0,0.3714,0.9958,1.3672
216.0,0.4177,0.9859,1.4036
217.0,0.3883,0.9336,1.3218999999999999
218.0,0.3567,0.9687,1.3254000000000001
219.0,0.4118,0.9615,1.3733
220.0,0.3915,0.982,1.3735
221.0,0.5896,0.999,1.5886
222.0,0.4979,0.9803,1.4782
223.0,0.3646,0.9155,1.2801
224.0,0.379,0.9629,1.3418999999999999
225.0,0.4425,0.9375,1.38
226.0,0.4211,0.9517,1.3728
227.0,0.4303,0.9445,1.3748
228.0,0.4149,0.9697,1.3846
229.0,0.402,0.9773,1.3793
230.0,0.4055,0.985,1.3905
231.0,0.3857,0.9684,1.3541
232.0,0.4136,0.9565,1.3701
233.0,0.3495,0.9296,1.2791
234.0,0.3988,0.9479,1.3467
235.0,0.4229,0.9619,1.3848
236.0,0.3833,1.0073,1.3906
237.0,0.3621,0.943,1.3051
238.0,0.4399,0.9415,1.3814
239.0,0.4509,0.9684,1.4193
240.0,0.4289,0.9554,1.3843
241.0,0.3975,0.9474,1.3449
242.0,0.4365,0.9144,1.3509
243.0,0.4084,0.9207,1.3291
244.0,0.4141,0.9553,1.3694000000000002
245.0,0.3893,0.9611,1.3504
246.0,0.4486,0.9375,1.3860999999999999
247.0,0.4005,0.9485,1.349
248.0,0.4053,0.9357,1.341
249.0,0.4131,0.9588,1.3719000000000001
250.0,0.3269,0.9298,1.2567
251.0,0.4019,0.9453,1.3472
252.0,0.3892,0.9414,1.3306
253.0,0.4035,0.9664,1.3699000000000001
254.0,0.4114,0.9894,1.4007999999999998
255.0,0.3807,0.9708,1.3515
256.0,0.4556,0.9471,1.4027
257.0,0.4176,0.9601,1.3777
258.0,0.4185,0.9365,1.355
259.0,0.3611,0.9219,1.283
260.0,0.414,0.9489,1.3629
261.0,0.3969,0.9399,1.3368
262.0,0.4119,0.9808,1.3927
263.0,0.4048,0.9247,1.3295
264.0,0.3525,0.9354,1.2879
265.0,0.4507,0.9481,1.3988
266.0,0.4016,0.9404,1.342
267.0,0.3977,0.9073,1.305
268.0,0.3975,0.9278,1.3253
269.0,0.4081,0.9164,1.3245
270.0,0.4156,0.9359,1.3515
271.0,0.3784,0.9095,1.2879
272.0,0.3694,0.9271,1.2965
273.0,0.4439,0.926,1.3699000000000001
274.0,0.3811,0.9192,1.3003
275.0,0.3731,0.9348,1.3079
276.0,0.4432,0.9688,1.412
277.0,0.3787,0.9627,1.3414
278.0,0.3547,0.9556,1.3103
279.0,0.3822,0.9412,1.3234
280.0,0.4193,0.9368,1.3561
281.0,0.4093,0.9101,1.3194
282.0,0.3955,0.9924,1.3879
283.0,0.3977,0.9205,1.3182
284.0,0.4515,0.9063,1.3578000000000001
285.0,0.435,0.9274,1.3624
286.0,0.356,0.9139,1.2699
287.0,0.4626,0.9022,1.3648
288.0,0.4431,0.9304,1.3735
289.0,0.4143,0.9397,1.354
290.0,0.3908,0.8912,1.282
291.0,0.4358,0.9133,1.3491
292.0,0.4495,0.9037,1.3532
293.0,0.3971,0.9072,1.3043
294.0,0.3997,0.8889,1.2886
295.0,0.3763,0.9162,1.2925
296.0,0.3867,0.8998,1.2865
297.0,0.3753,0.8736,1.2489000000000001
298.0,0.4249,0.9021,1.327
299.0,0.386,0.9015,1.2875
300.0,0.3954,0.9037,1.2991
301.0,0.4033,0.8792,1.2825
302.0,0.3503,0.8846,1.2349
303.0,0.4035,0.8905,1.294
304.0,0.3469,0.8891,1.236
305.0,0.4943,0.9099,1.4042000000000001
306.0,0.3866,0.9223,1.3089
307.0,0.3732,0.9318,1.305
308.0,0.3932,0.9248,1.318
309.0,0.3581,0.8964,1.2545
310.0,0.4005,0.9138,1.3143
311.0,0.3981,0.8838,1.2819
312.0,0.4238,0.8857,1.3095
313.0,0.3707,0.8911,1.2618
314.0,0.3761,0.8399,1.216
315.0,0.3419,0.8815,1.2233999999999998
316.0,0.3918,0.8987,1.2905
317.0,0.3779,0.8945,1.2724
318.0,0.4192,0.8752,1.2944
319.0,0.3584,0.8813,1.2397
320.0,0.3268,0.9093,1.2361
321.0,0.3859,0.9068,1.2927
322.0,0.3341,0.9281,1.2622
323.0,0.3656,0.8872,1.2528
324.0,0.4779,0.8914,1.3693
325.0,0.3721,0.8871,1.2591999999999999
326.0,0.3751,0.8892,1.2643
327.0,0.3823,0.8889,1.2711999999999999
328.0,0.4034,0.9254,1.3288
329.0,0.4691,0.8984,1.3675
330.0,0.3813,0.896,1.2772999999999999
331.0,0.365,0.9103,1.2753
332.0,0.3275,0.9075,1.2349999999999999
333.0,0.3791,0.8845,1.2635999999999998
334.0,0.3591,0.9162,1.2753
335.0,0.4059,0.9059,1.3118
336.0,0.4988,0.8961,1.3949
337.0,0.3832,0.9155,1.2987
338.0,0.3764,0.8967,1.2731000000000001
339.0,0.3705,0.8915,1.262
340.0,0.356,0.9294,1.2854
341.0,0.3724,0.8882,1.2606
342.0,0.367,0.8616,1.2286000000000001
343.0,0.4086,0.9155,1.3241
344.0,0.3371,0.8932,1.2303
345.0,0.3386,0.8735,1.2121
346.0,0.3103,0.8858,1.1961
347.0,0.3742,0.8609,1.2351
348.0,0.4054,0.9075,1.3129
349.0,0.3842,0.9087,1.2929
350.0,0.3459,0.9171,1.263
351.0,0.3808,0.8686,1.2494
352.0,0.3194,0.8928,1.2122000000000002
353.0,0.3747,0.8888,1.2635
354.0,0.3931,0.8732,1.2663
355.0,0.3737,0.8698,1.2435
356.0,0.3972,0.9019,1.2991000000000001
357.0,0.4252,0.8931,1.3183
358.0,0.4321,0.8959,1.328
359.0,0.3575,0.8915,1.2489999999999999
360.0,0.3555,0.8833,1.2388
361.0,0.4042,0.8815,1.2856999999999998
362.0,0.3953,0.8983,1.2936
363.0,0.3661,0.9057,1.2717999999999998
364.0,0.376,0.8788,1.2548
365.0,0.3315,0.869,1.2005
366.0,0.4259,0.8709,1.2968
367.0,0.3691,0.8558,1.2248999999999999
368.0,0.3573,0.8723,1.2296
369.0,0.3641,0.8644,1.2285
370.0,0.3478,0.8621,1.2099
371.0,0.3512,0.8713,1.2225
372.0,0.379,0.8504,1.2294
373.0,0.391,0.8603,1.2513
374.0,0.3667,0.8678,1.2345000000000002
375.0,0.3962,0.8739,1.2701
376.0,0.3621,0.8699,1.232
377.0,0.3931,0.8664,1.2595
378.0,0.4464,0.8612,1.3075999999999999
379.0,0.3614,0.8489,1.2103
380.0,0.3386,0.8475,1.1861000000000002
381.0,0.3936,0.8343,1.2279
382.0,0.3923,0.8833,1.2755999999999998
383.0,0.402,0.9113,1.3133
384.0,0.3596,0.8369,1.1965
385.0,0.3553,0.8782,1.2335
386.0,0.348,0.9112,1.2591999999999999
387.0,0.401,0.8449,1.2459
388.0,0.3381,0.8845,1.2226
389.0,0.3874,0.8435,1.2309
390.0,0.4281,0.8733,1.3014
391.0,0.4139,0.8554,1.2693
392.0,0.4662,0.8456,1.3118
393.0,0.4298,0.8683,1.2981
394.0,0.3234,0.8609,1.1843
395.0,0.3151,0.8216,1.1367
396.0,0.3977,0.8112,1.2089
397.0,0.4157,0.8292,1.2449000000000001
398.0,0.3701,0.8244,1.1945000000000001
399.0,0.3487,0.8319,1.1806
400.0,0.4134,0.8542,1.2675999999999998
401.0,0.3734,0.8344,1.2078
402.0,0.3436,0.8415,1.1851
403.0,0.3252,0.7943,1.1195
404.0,0.3579,0.834,1.1919
405.0,0.3419,0.8428,1.1846999999999999
406.0,0.3112,0.8072,1.1184
407.0,0.3857,0.8322,1.2179
408.0,0.3041,0.8394,1.1435
409.0,0.4036,0.9105,1.3141
410.0,0.4526,0.8607,1.3133
411.0,0.3629,0.793,1.1559
412.0,0.344,0.8913,1.2353
413.0,0.3492,0.8095,1.1587
414.0,0.3286,0.8256,1.1542
415.0,0.3724,0.8293,1.2017
416.0,0.3179,0.8528,1.1707
417.0,0.3792,0.8375,1.2167
418.0,0.3698,0.7965,1.1663000000000001
419.0,0.3765,0.827,1.2035
420.0,0.4121,0.8218,1.2339
421.0,0.3326,0.7835,1.1160999999999999
422.0,0.3018,0.801,1.1028
423.0,0.4435,0.8462,1.2896999999999998
424.0,0.3658,0.808,1.1738
425.0,0.3355,0.8095,1.145
426.0,0.375,0.7895,1.1644999999999999
427.0,0.3731,0.8093,1.1824
428.0,0.3861,0.8021,1.1882000000000001
429.0,0.4088,0.7892,1.198
430.0,0.3338,0.7669,1.1007
431.0,0.3509,0.8019,1.1528
432.0,0.3952,0.7972,1.1924000000000001
433.0,0.3541,0.789,1.1431
434.0,0.3561,0.7992,1.1553
435.0,0.4286,0.7994,1.228
436.0,0.3819,0.7792,1.1611
437.0,0.3134,0.7844,1.0977999999999999
438.0,0.3742,0.7968,1.1709999999999998
439.0,0.3833,0.7677,1.151
440.0,0.3231,0.7908,1.1139
441.0,0.3411,0.7874,1.1285
442.0,0.3651,0.7767,1.1418
443.0,0.3542,0.7972,1.1514
444.0,0.3946,0.8092,1.2038
445.0,0.4141,0.7913,1.2054
446.0,0.326,0.7766,1.1026
447.0,0.3918,0.7619,1.1537
448.0,0.3912,0.7867,1.1779
449.0,0.3379,0.7746,1.1124999999999998
450.0,0.5466,0.777,1.3235999999999999
451.0,0.4679,0.8134,1.2812999999999999
452.0,0.4198,0.8226,1.2424
453.0,0.409,0.8421,1.2510999999999999
454.0,0.5299,0.7947,1.3246
455.0,0.3935,0.7908,1.1843
456.0,0.361,0.8145,1.1755
457.0,0.3857,0.8136,1.1993
458.0,0.4794,0.813,1.2924
459.0,0.4352,0.8417,1.2769
460.0,0.4084,0.7918,1.2002
461.0,0.3969,0.814,1.2108999999999999
462.0,0.3333,0.7815,1.1148
463.0,0.413,0.7795,1.1925
464.0,0.4136,0.7892,1.2028
465.0,0.3787,0.7609,1.1396
466.0,0.3884,0.7926,1.181
467.0,0.3783,0.7954,1.1737
468.0,0.3979,0.7732,1.1711
469.0,0.3509,0.8051,1.1560000000000001
470.0,0.3732,0.7527,1.1259000000000001
471.0,0.3745,0.7759,1.1504
472.0,0.3936,0.7946,1.1882
473.0,0.3573,0.7842,1.1415
474.0,0.3609,0.7618,1.1227
475.0,0.3449,0.7591,1.104
476.0,0.3416,0.7238,1.0654
477.0,0.3212,0.778,1.0992
478.0,0.3212,0.7665,1.0877
479.0,0.4018,0.7651,1.1669
480.0,0.4224,0.7615,1.1839
481.0,0.3357,0.7754,1.1111
482.0,0.4154,0.7614,1.1768
483.0,0.4125,0.7727,1.1852
484.0,0.3879,0.7976,1.1855
485.0,0.3581,0.759,1.1171
486.0,0.3404,0.7275,1.0679
487.0,0.3388,0.749,1.0878
488.0,0.3656,0.7886,1.1542
489.0,0.3881,0.7686,1.1566999999999998
490.0,0.3353,0.7751,1.1104
491.0,0.3838,0.7525,1.1362999999999999
492.0,0.3972,0.7703,1.1675
493.0,0.3336,0.7569,1.0905
494.0,0.3694,0.7383,1.1077
495.0,0.3894,0.742,1.1314
496.0,0.3471,0.7641,1.1112
497.0,0.3547,0.7675,1.1221999999999999
498.0,0.3373,0.7618,1.0991
499.0,0.3611,0.7653,1.1263999999999998
500.0,0.3345,0.7785,1.113
501.0,0.3365,0.7595,1.096
502.0,0.2934,0.7316,1.025
503.0,0.3807,0.7546,1.1353
504.0,0.3574,0.7714,1.1288
505.0,0.3244,0.7474,1.0718
506.0,0.3705,0.7408,1.1113
507.0,0.3267,0.7566,1.0833
508.0,0.35,0.75,1.1
509.0,0.3207,0.7483,1.069
510.0,0.351,0.7632,1.1141999999999999
511.0,0.3546,0.7737,1.1283
512.0,0.3396,0.7405,1.0801
513.0,0.3716,0.7626,1.1341999999999999
514.0,0.3564,0.7498,1.1062
515.0,0.3958,0.7522,1.148
516.0,0.3513,0.7572,1.1085
517.0,0.3412,0.7609,1.1021
518.0,0.314,0.7379,1.0519
519.0,0.372,0.742,1.1139999999999999
520.0,0.3049,0.7323,1.0372
521.0,0.3658,0.7562,1.1219999999999999
522.0,0.3184,0.728,1.0464
523.0,0.317,0.7275,1.0445
524.0,0.344,0.7269,1.0709
525.0,0.3669,0.7459,1.1128
526.0,0.4343,0.6942,1.1285
527.0,0.3141,0.734,1.0481
528.0,0.3259,0.7298,1.0557
529.0,0.3211,0.7108,1.0319
530.0,0.3221,0.7021,1.0242
531.0,0.3579,0.7276,1.0855000000000001
532.0,0.3307,0.7048,1.0354999999999999
533.0,0.3285,0.7079,1.0364
534.0,0.3626,0.7264,1.089
535.0,0.3636,0.7012,1.0648
536.0,0.3235,0.738,1.0615
537.0,0.344,0.712,1.056
538.0,0.3986,0.7241,1.1227
539.0,0.4196,0.7071,1.1267
540.0,0.3143,0.7012,1.0155
541.0,0.3516,0.7113,1.0629
542.0,0.3482,0.7265,1.0747
543.0,0.3239,0.6817,1.0056
544.0,0.3425,0.7006,1.0431
545.0,0.3664,0.7396,1.106
546.0,0.3318,0.7003,1.0321
547.0,0.3517,0.7145,1.0662
548.0,0.3668,0.7058,1.0726
549.0,0.4251,0.7006,1.1257
550.0,0.3535,0.6958,1.0493
551.0,0.3631,0.7112,1.0743
552.0,0.3072,0.685,0.9922
553.0,0.3531,0.7073,1.0604
554.0,0.3791,0.6884,1.0675
555.0,0.3652,0.7025,1.0677
556.0,0.317,0.6747,0.9917
557.0,0.3213,0.703,1.0243
558.0,0.4206,0.7031,1.1237
559.0,0.4212,0.7009,1.1221
560.0,0.3203,0.7226,1.0429
561.0,0.3331,0.7107,1.0438
562.0,0.3037,0.6679,0.9716
563.0,0.321,0.6735,0.9944999999999999
564.0,0.4043,0.6899,1.0941999999999998
565.0,0.3257,0.7141,1.0398
566.0,0.3557,0.6966,1.0523
567.0,0.2853,0.7024,0.9877
568.0,0.338,0.7091,1.0471
569.0,0.325,0.6984,1.0234
570.0,0.3912,0.694,1.0852
571.0,0.382,0.7113,1.0933000000000002
572.0,0.4193,0.7047,1.124
573.0,0.3462,0.698,1.0442
574.0,0.364,0.7139,1.0779
575.0,0.3352,0.6896,1.0248
576.0,0.2888,0.6784,0.9672000000000001
577.0,0.3403,0.6771,1.0174
578.0,0.3205,0.6463,0.9668
579.0,0.3468,0.7031,1.0499
580.0,0.365,0.687,1.052
581.0,0.3555,0.6703,1.0258
582.0,0.3257,0.6717,0.9974
583.0,0.3688,0.6653,1.0341
584.0,0.3187,0.6713,0.99
585.0,0.3079,0.6812,0.9891000000000001
586.0,0.3291,0.6781,1.0072
587.0,0.3435,0.6703,1.0138
588.0,0.3652,0.6684,1.0336
589.0,0.3251,0.6853,1.0104
590.0,0.3137,0.6375,0.9511999999999999
591.0,0.324,0.6635,0.9875
592.0,0.3581,0.6639,1.022
593.0,0.2977,0.6448,0.9425000000000001
594.0,0.3461,0.6789,1.025
595.0,0.323,0.6785,1.0015
596.0,0.2788,0.6431,0.9218999999999999
597.0,0.358,0.6824,1.0404
598.0,0.3739,0.659,1.0329000000000002
599.0,0.4772,0.6764,1.1536
600.0,0.3569,0.7002,1.0571000000000002
601.0,0.3575,0.799,1.1565
602.0,0.3795,0.7814,1.1609
603.0,0.3757,0.7289,1.1046
604.0,0.3627,0.7245,1.0872000000000002
605.0,0.3242,0.6944,1.0186
606.0,0.3896,0.7015,1.0911
607.0,0.3658,0.69,1.0558
608.0,0.3965,0.6997,1.0962
609.0,0.3602,0.7164,1.0766
610.0,0.324,0.6858,1.0098
611.0,0.3556,0.6544,1.01
612.0,0.355,0.683,1.038
613.0,0.3358,0.6638,0.9995999999999999
614.0,0.3415,0.6948,1.0363
615.0,0.321,0.6476,0.9685999999999999
616.0,0.3928,0.6473,1.0401
617.0,0.3033,0.65,0.9533
618.0,0.3784,0.6593,1.0377
619.0,0.3,0.6151,0.9151
620.0,0.429,0.6832,1.1122
621.0,0.3043,0.6396,0.9439
622.0,0.3138,0.6363,0.9501
623.0,0.3593,0.6459,1.0052
624.0,0.3327,0.6333,0.966
625.0,0.3602,0.6577,1.0179
626.0,0.3415,0.6153,0.9568
627.0,0.305,0.6542,0.9592
628.0,0.4273,0.6805,1.1078000000000001
629.0,0.3189,0.6658,0.9846999999999999
630.0,0.2949,0.6795,0.9743999999999999
631.0,0.3169,0.6407,0.9576
632.0,0.3289,0.6467,0.9756
633.0,0.3503,0.635,0.9853000000000001
634.0,0.3922,0.6627,1.0549
635.0,0.4048,0.634,1.0388
636.0,0.3719,0.6069,0.9788
637.0,0.3346,0.6504,0.985
638.0,0.3147,0.6344,0.9490999999999999
639.0,0.3816,0.6447,1.0263
640.0,0.3833,0.628,1.0112999999999999
641.0,0.3166,0.6179,0.9345
642.0,0.3407,0.6333,0.974
643.0,0.3329,0.6393,0.9722
644.0,0.3625,0.6215,0.984
645.0,0.3301,0.6295,0.9596
646.0,0.3232,0.6226,0.9458
647.0,0.3533,0.5958,0.9491
648.0,0.3853,0.6247,1.01
649.0,0.3434,0.6367,0.9801
650.0,0.4211,0.6235,1.0446
651.0,0.3644,0.6023,0.9666999999999999
652.0,0.3376,0.633,0.9706
653.0,0.3364,0.6306,0.9670000000000001
654.0,0.3458,0.6173,0.9631
655.0,0.3243,0.6254,0.9497
656.0,0.3455,0.6469,0.9924
657.0,0.2989,0.6065,0.9054
658.0,0.3364,0.6245,0.9609000000000001
659.0,0.313,0.6387,0.9517
660.0,0.3715,0.6179,0.9894000000000001
661.0,0.3297,0.6358,0.9655
662.0,0.3437,0.7057,1.0493999999999999
663.0,0.3271,0.6297,0.9568000000000001
664.0,0.2978,0.6093,0.9071
665.0,0.364,0.6593,1.0232999999999999
666.0,0.3341,0.6446,0.9786999999999999
667.0,0.3325,0.6474,0.9799
668.0,0.3892,0.6249,1.0141
669.0,0.303,0.6353,0.9382999999999999
670.0,0.3752,0.6054,0.9806
671.0,0.3701,0.6114,0.9815
672.0,0.3065,0.6485,0.955
673.0,0.3212,0.6296,0.9508000000000001
674.0,0.3056,0.6536,0.9591999999999999
675.0,0.3405,0.6241,0.9646
676.0,0.3478,0.5932,0.941
677.0,0.3401,0.6207,0.9608000000000001
678.0,0.3127,0.63,0.9427
679.0,0.3217,0.6212,0.9429
680.0,0.3955,0.5914,0.9869000000000001
681.0,0.2995,0.62,0.9195
682.0,0.3303,0.571,0.9013
683.0,0.3541,0.5973,0.9514
684.0,0.3487,0.582,0.9307
685.0,0.3301,0.5916,0.9217
686.0,0.3037,0.6019,0.9056
687.0,0.3488,0.6017,0.9505
688.0,0.3203,0.6086,0.9289000000000001
689.0,0.3154,0.5987,0.9141
690.0,0.414,0.6093,1.0232999999999999
691.0,0.3301,0.6121,0.9421999999999999
692.0,0.3097,0.6071,0.9168
693.0,0.3494,0.6197,0.9691000000000001
694.0,0.3315,0.6231,0.9546
695.0,0.3423,0.6187,0.9610000000000001
696.0,0.3055,0.5996,0.9051
697.0,0.3113,0.582,0.8933
698.0,0.3363,0.628,0.9642999999999999
699.0,0.2762,0.5872,0.8634000000000001
700.0,0.2969,0.6215,0.9184000000000001
701.0,0.3674,0.5832,0.9506000000000001
702.0,0.3229,0.6062,0.9291
703.0,0.3429,0.6117,0.9546
704.0,0.3724,0.5897,0.9621
705.0,0.3091,0.5717,0.8808
706.0,0.3133,0.6238,0.9371
707.0,0.3215,0.6014,0.9229
708.0,0.3184,0.6001,0.9185
709.0,0.311,0.5774,0.8884000000000001
710.0,0.2808,0.5546,0.8353999999999999
711.0,0.2876,0.5909,0.8785000000000001
712.0,0.3562,0.5938,0.95
713.0,0.3042,0.5918,0.896
714.0,0.2934,0.5786,0.872
715.0,0.3162,0.6028,0.919
716.0,0.3449,0.6032,0.9480999999999999
