epoch,beta,lr,train_total_loss,train_recon_loss,train_mse_loss,train_ce_loss,train_kl_loss,train_contrast_loss,train_separation_loss,train_acc,train_proto_dist,val_total_loss,val_recon_loss,val_mse_loss,val_ce_loss,val_kl_loss,val_contrast_loss,val_separation_loss,val_acc,val_proto_dist
0,0.01,0.003,17.859561920166016,9.81498908996582,9.81498908996582,0.0,0.12039647251367569,9.002079010009766,6.605305194854736,0.0,1.3946946859359741,19.74111971259117,5.992045879364014,5.992045879364014,0.0,0.36404356360435486,6.779725074768066,6.605305194854736,0.0,1.3946946859359741
1,0.01,0.003,14.024833679199219,6.304069519042969,6.304069519042969,0.0,0.14897049963474274,8.368966102600098,6.744737148284912,0.0,1.2552629709243774,17.888136327266693,4.8979010581970215,4.8979010581970215,0.0,0.34111684560775757,5.904381275177002,6.744737148284912,0.0,1.2552629709243774
2,0.01,0.003,11.880292892456055,4.6803460121154785,4.6803460121154785,0.0,0.18433736264705658,7.412289142608643,6.876823902130127,0.0,1.123176097869873,16.69003674387932,3.879443883895874,3.879443883895874,0.0,0.28506729006767273,5.6487016677856445,6.876823902130127,0.0,1.123176097869873
3,0.01,0.003,10.941810607910156,3.818915843963623,3.818915843963623,0.0,0.17353470623493195,7.203607082366943,6.997488498687744,0.0,1.0025113821029663,15.996626168489456,3.230062246322632,3.230062246322632,0.0,0.22733452916145325,5.541740894317627,6.997488498687744,0.0,1.0025113821029663
4,0.01,0.003,10.243433952331543,3.164137840270996,3.164137840270996,0.0,0.14851778745651245,7.0834269523620605,7.0693864822387695,0.0,0.9306137561798096,15.432017236948013,2.709825038909912,2.709825038909912,0.0,0.17638102173805237,5.476424694061279,7.0693864822387695,0.0,0.9306137561798096
5,0.01,0.003,9.696990966796875,2.6246683597564697,2.6246683597564697,0.0,0.12079956382513046,7.025773525238037,7.139125347137451,0.0,0.8608746528625488,14.925282686948776,2.191671848297119,2.191671848297119,0.0,0.13675996661186218,5.457725524902344,7.139125347137451,0.0,0.8608746528625488
6,0.01,0.003,9.230360984802246,2.137230157852173,2.137230157852173,0.0,0.09747210144996643,7.001235008239746,7.2285356521606445,0.0,0.771464467048645,14.54387105256319,1.7552711963653564,1.7552711963653564,0.0,0.1078423336148262,5.452221870422363,7.2285356521606445,0.0,0.771464467048645
7,0.01,0.003,8.80198860168457,1.6812655925750732,1.6812655925750732,0.0,0.08084280043840408,6.99041223526001,7.314167022705078,0.0,0.6858331561088562,14.254032999277115,1.4042662382125854,1.4042662382125854,0.0,0.08912661671638489,5.446473121643066,7.314167022705078,0.0,0.6858331561088562
8,0.01,0.003,8.475227355957031,1.3261570930480957,1.3261570930480957,0.0,0.06973167508840561,6.992091178894043,7.382795333862305,0.0,0.617204487323761,14.018082544207573,1.1022419929504395,1.1022419929504395,0.0,0.07910864055156708,5.453936576843262,7.382795333862305,0.0,0.617204487323761
9,0.01,0.003,8.223650932312012,1.0641764402389526,1.0641764402389526,0.0,0.06449814885854721,6.998087406158447,7.399941921234131,0.0,0.6000581979751587,13.826453559100628,0.8794960379600525,0.8794960379600525,0.0,0.07452433556318283,5.472491264343262,7.399941921234131,0.0,0.6000581979751587
10,0.01,0.003,7.990714073181152,0.8396595120429993,0.8396595120429993,0.0,0.06295527517795563,7.013671398162842,7.355555534362793,0.0,0.6444443464279175,13.660496346652508,0.7336151003837585,0.7336151003837585,0.0,0.07283251732587814,5.498493194580078,7.355555534362793,0.0,0.6444443464279175
11,0.01,0.003,7.817988395690918,0.7037646770477295,0.7037646770477295,0.0,0.06301644444465637,7.0373663902282715,7.227932929992676,0.0,0.7720672488212585,13.432633765041828,0.5936397314071655,0.5936397314071655,0.0,0.07123232632875443,5.539828777313232,7.227932929992676,0.0,0.7720672488212585
12,0.01,0.003,7.654475212097168,0.5847046971321106,0.5847046971321106,0.0,0.06293860822916031,7.087099552154541,7.042202949523926,0.0,0.9577972888946533,13.208666078746319,0.4923270046710968,0.4923270046710968,0.0,0.07031150907278061,5.603824615478516,7.042202949523926,0.0,0.9577972888946533
13,0.01,0.003,7.512307643890381,0.4979169964790344,0.4979169964790344,0.0,0.06292536109685898,7.1493353843688965,6.810400485992432,0.0,1.1895993947982788,12.959255926311016,0.4446046054363251,0.4446046054363251,0.0,0.07031586021184921,5.63393497467041,6.810400485992432,0.0,1.1895993947982788
14,0.01,0.003,7.379007339477539,0.4437098503112793,0.4437098503112793,0.0,0.06339604407548904,7.181330680847168,6.564662456512451,0.0,1.4353376626968384,12.677130326628685,0.41595372557640076,0.41595372557640076,0.0,0.07025910913944244,5.626255035400391,6.564662456512451,0.0,1.4353376626968384
15,0.01,0.003,7.250974655151367,0.4138241708278656,0.4138241708278656,0.0,0.06368721276521683,7.172525405883789,6.33249568939209,0.0,1.6675041913986206,12.388197161257267,0.3749047815799713,0.3749047815799713,0.0,0.06984765082597733,5.6109490394592285,6.33249568939209,0.0,1.6675041913986206
16,0.01,0.003,7.115914821624756,0.37699905037879944,0.37699905037879944,0.0,0.06347870826721191,7.14934778213501,6.121679306030273,0.0,1.8783209323883057,12.118021711707115,0.33271777629852295,0.33271777629852295,0.0,0.06917749345302582,5.594447135925293,6.121679306030273,0.0,1.8783209323883057
17,0.01,0.003,6.989490509033203,0.33658137917518616,0.33658137917518616,0.0,0.06296250224113464,7.1214213371276855,5.94856595993042,0.0,2.05143404006958,11.86703896522522,0.28253471851348877,0.28253471851348877,0.0,0.06843912601470947,5.567499160766602,5.94856595993042,0.0,2.05143404006958
18,0.01,0.003,6.875392913818359,0.29072627425193787,0.29072627425193787,0.0,0.06245359033346176,7.0985426902771,5.812291145324707,0.0,2.187708616256714,11.682216361165047,0.2508152425289154,0.2508152425289154,0.0,0.0681527704000473,5.550957202911377,5.812291145324707,0.0,2.187708616256714
19,0.01,0.003,6.783213138580322,0.2529521584510803,0.2529521584510803,0.0,0.062355443835258484,7.076127529144287,5.709901809692383,0.0,2.2900984287261963,11.531429283320904,0.22367538511753082,0.22367538511753082,0.0,0.06834683567285538,5.529505252838135,5.709901809692383,0.0,2.2900984287261963
20,0.01,0.003,6.715895652770996,0.23120296001434326,0.23120296001434326,0.0,0.0625888779759407,7.050602436065674,5.6342644691467285,0.0,2.3657355308532715,11.413307540118694,0.20740661025047302,0.20740661025047302,0.0,0.06894900649785995,5.502687454223633,5.6342644691467285,0.0,2.3657355308532715
21,0.01,0.003,6.660100936889648,0.21296776831150055,0.21296776831150055,0.0,0.06321913748979568,7.026695251464844,5.57620906829834,0.0,2.4237911701202393,11.320282079279423,0.18952152132987976,0.18952152132987976,0.0,0.06953085213899612,5.485020637512207,5.57620906829834,0.0,2.4237911701202393
22,0.01,0.003,6.615760803222656,0.19721387326717377,0.19721387326717377,0.0,0.0638827532529831,7.009599208831787,5.530370712280273,0.0,2.4696292877197266,11.253266461193562,0.1791769415140152,0.1791769415140152,0.0,0.06998395174741745,5.4737348556518555,5.530370712280273,0.0,2.4696292877197266
23,0.01,0.003,6.581775665283203,0.18371255695819855,0.18371255695819855,0.0,0.06440597027540207,7.001978874206543,5.490577697753906,0.0,2.5094223022460938,11.192838475108147,0.1556311696767807,0.1556311696767807,0.0,0.06973093748092651,5.476898670196533,5.490577697753906,0.0,2.5094223022460938
24,0.01,0.003,6.543335437774658,0.1609283983707428,0.1609283983707428,0.0,0.06438131630420685,7.004132270812988,5.448208808898926,0.0,2.551790952682495,11.134229958057404,0.13703002035617828,0.13703002035617828,0.0,0.0691932886838913,5.479797840118408,5.448208808898926,0.0,2.551790952682495
25,0.01,0.003,6.510037422180176,0.14201620221138,0.14201620221138,0.0,0.064129538834095,7.006096363067627,5.409304618835449,0.0,2.59069561958313,11.076711408793926,0.12028295546770096,0.12028295546770096,0.0,0.0686606615781784,5.478463172912598,5.409304618835449,0.0,2.59069561958313
26,0.01,0.003,6.4759979248046875,0.12330667674541473,0.12330667674541473,0.0,0.06377871334552765,7.00516414642334,5.372386455535889,0.0,2.6276135444641113,11.018870003521442,0.10738296061754227,0.10738296061754227,0.0,0.06822627782821655,5.470874309539795,5.372386455535889,0.0,2.6276135444641113
27,0.01,0.003,6.4510498046875,0.11172135174274445,0.11172135174274445,0.0,0.06344499439001083,6.9987568855285645,5.348598003387451,0.0,2.651401996612549,10.981130495667458,0.10105609893798828,0.10105609893798828,0.0,0.06772507727146149,5.463751316070557,5.348598003387451,0.0,2.651401996612549
