iter	Passed	Remaining
422	2171	2962
423	2176	2957
424	2182	2952
425	2186	2946
426	2191	2940
427	2196	2936
428	2201	2930
429	2206	2924
430	2211	2919
431	2216	2913
432	2220	2908
433	2225	2902
434	2230	2897
435	2235	2891
436	2239	2885
437	2244	2879
438	2248	2873
439	2253	2868
440	2258	2862
441	2263	2857
442	2268	2851
443	2273	2847
444	2279	2842
445	2284	2837
446	2289	2832
447	2294	2827
448	2299	2822
449	2304	2817
450	2310	2812
451	2315	2806
452	2320	2802
453	2325	2797
454	2330	2792
455	2335	2786
456	2341	2781
457	2346	2776
458	2351	2771
459	2355	2765
460	2361	2760
461	2365	2755
462	2370	2749
463	2375	2744
464	2380	2739
465	2385	2733
466	2390	2727
467	2395	2722
468	2399	2716
469	2404	2711
470	2409	2705
471	2413	2700
472	2418	2694
473	2423	2689
474	2428	2683
475	2432	2678
476	2437	2672
477	2442	2667
478	2447	2662
479	2452	2657
480	2458	2652
481	2464	2648
482	2469	2643
483	2474	2638
484	2479	2633
485	2485	2628
486	2489	2622
487	2495	2617
488	2500	2612
489	2505	2608
490	2511	2603
491	2514	2596
492	2520	2592
493	2527	2588
494	2532	2583
495	2539	2580
496	2544	2575
497	2549	2570
498	2555	2565
499	2560	2560
500	2565	2555
501	2571	2550
502	2575	2545
503	2580	2539
504	2585	2534
505	2591	2529
506	2595	2524
507	2600	2518
508	2605	2512
509	2610	2507
510	2615	2502
511	2620	2497
512	2625	2492
513	2629	2486
514	2634	2481
515	2639	2475
516	2644	2470
517	2648	2464
518	2653	2459
519	2657	2453
520	2662	2448
521	2666	2441
522	2671	2436
523	2675	2430
524	2680	2425
525	2686	2420
526	2690	2415
527	2695	2409
528	2699	2403
529	2705	2398
530	2709	2393
531	2714	2388
532	2720	2383
533	2725	2378
534	2730	2373
535	2736	2368
536	2740	2363
537	2743	2356
538	2747	2350
539	2753	2345
540	2758	2340
541	2763	2335
542	2769	2330
543	2774	2325
544	2779	2320
545	2784	2315
546	2790	2310
547	2795	2305
548	2801	2301
549	2806	2295
550	2810	2290
551	2816	2285
552	2821	2280
553	2826	2275
554	2831	2270
555	2836	2265
556	2842	2260
557	2847	2255
558	2852	2250
559	2857	2244
560	2861	2239
561	2866	2234
562	2872	2229
563	2877	2224
564	2882	2219
565	2888	2214
566	2893	2209
567	2899	2205
568	2904	2200
569	2909	2194
570	2914	2189
571	2919	2184
572	2924	2179
573	2930	2174
574	2936	2170
575	2941	2165
576	2947	2161
577	2952	2155
578	2957	2150
579	2961	2144
580	2966	2139
581	2972	2134
582	2977	2129
583	2982	2124
584	2986	2118
585	2992	2113
586	2997	2108
587	3001	2103
588	3005	2097
589	3009	2091
590	3014	2085
591	3019	2080
592	3024	2075
593	3029	2070
594	3033	2064
595	3038	2059
596	3043	2054
597	3048	2049
598	3051	2042
599	3056	2037
600	3061	2032
601	3066	2027
602	3070	2021
603	3075	2016
604	3079	2010
605	3084	2005
606	3089	2000
607	3095	1995
608	3099	1989
609	3103	1984
610	3109	1979
611	3113	1973
612	3118	1968
613	3124	1964
614	3129	1959
615	3134	1953
616	3139	1948
617	3145	1944
618	3150	1938
619	3154	1933
620	3159	1928
621	3163	1922
622	3168	1917
623	3173	1912
624	3178	1907
625	3183	1901
626	3187	1896
627	3193	1891
628	3198	1886
629	3203	1881
630	3208	1876
631	3212	1870
632	3217	1865
633	3222	1860
634	3226	1854
635	3231	1849
636	3234	1843
637	3238	1837
638	3242	1831
639	3246	1825
640	3249	1820
641	3253	1814
642	3258	1809
643	3263	1803
644	3268	1798
645	3273	1793
646	3278	1788
647	3283	1783
648	3288	1778
649	3294	1773
650	3299	1768
651	3302	1762
652	3307	1757
653	3310	1751
654	3314	1745
655	3318	1740
656	3324	1735
657	3329	1730
658	3334	1725
659	3340	1720
660	3345	1715
661	3350	1710
662	3354	1705
663	3359	1699
664	3363	1694
665	3367	1688
666	3372	1683
667	3377	1678
668	3382	1673
669	3387	1668
670	3392	1663
671	3396	1657
672	3401	1652
673	3406	1647
674	3411	1642
675	3415	1637
676	3420	1631
677	3424	1626
678	3429	1621
679	3434	1616
680	3438	1610
681	3442	1605
682	3447	1600
683	3452	1594
684	3457	1589
685	3461	1584
686	3465	1579
687	3469	1573
688	3474	1568
689	3479	1563
690	3484	1558
691	3489	1552
692	3494	1547
693	3499	1543
694	3504	1537
695	3509	1532
696	3513	1527
697	3517	1521
698	3522	1516
699	3526	1511
700	3531	1506
701	3536	1501
702	3542	1496
703	3547	1491
704	3553	1486
705	3558	1481
706	3563	1476
707	3569	1472
708	3574	1467
709	3578	1461
710	3583	1456
711	3588	1451
712	3593	1446
713	3598	1441
714	3604	1436
715	3609	1431
716	3615	1426
717	3620	1421
718	3625	1416
719	3630	1411
720	3634	1406
721	3638	1401
722	3643	1395
723	3647	1390
