iter	Passed	Remaining
424	1938	2622
425	1942	2617
426	1946	2612
427	1950	2606
428	1954	2601
429	1959	2596
430	1963	2592
431	1967	2586
432	1970	2580
433	1974	2575
434	1978	2570
435	1982	2564
436	1986	2559
437	1991	2555
438	1995	2550
439	1999	2545
440	2003	2539
441	2008	2535
442	2012	2530
443	2016	2525
444	2021	2520
445	2025	2515
446	2028	2509
447	2032	2504
448	2037	2499
449	2041	2494
450	2045	2489
451	2049	2484
452	2053	2479
453	2057	2474
454	2061	2469
455	2066	2464
456	2070	2459
457	2074	2454
458	2078	2449
459	2082	2445
460	2086	2440
461	2091	2435
462	2095	2430
463	2100	2426
464	2103	2420
465	2107	2415
466	2111	2410
467	2115	2405
468	2120	2400
469	2123	2394
470	2128	2390
471	2132	2384
472	2135	2379
473	2139	2374
474	2144	2370
475	2148	2365
476	2152	2360
477	2156	2355
478	2161	2350
479	2164	2345
480	2169	2340
481	2173	2335
482	2177	2330
483	2181	2325
484	2185	2320
485	2189	2315
486	2193	2310
487	2197	2305
488	2201	2300
489	2205	2295
490	2209	2290
491	2213	2285
492	2217	2280
493	2221	2275
494	2225	2270
495	2230	2266
496	2234	2261
497	2240	2258
498	2244	2253
499	2247	2247
500	2252	2243
501	2256	2238
502	2259	2232
503	2263	2227
504	2268	2223
505	2272	2218
506	2276	2213
507	2280	2208
508	2284	2203
509	2288	2198
510	2292	2193
511	2296	2189
512	2300	2183
513	2304	2178
514	2308	2173
515	2312	2168
516	2316	2163
517	2320	2158
518	2324	2153
519	2328	2148
520	2331	2143
521	2336	2139
522	2339	2134
523	2344	2129
524	2348	2124
525	2351	2119
526	2356	2114
527	2360	2109
528	2364	2104
529	2367	2099
530	2372	2095
531	2376	2090
532	2380	2085
533	2384	2080
534	2388	2075
535	2392	2071
536	2396	2066
537	2400	2061
538	2404	2056
539	2408	2052
540	2413	2047
541	2417	2042
542	2421	2038
543	2425	2032
544	2429	2028
545	2433	2023
546	2437	2018
547	2441	2013
548	2445	2008
549	2449	2003
550	2454	1999
551	2458	1995
552	2462	1990
553	2466	1985
554	2470	1981
555	2474	1976
556	2478	1971
557	2483	1967
558	2486	1961
559	2490	1957
560	2494	1952
561	2499	1947
562	2502	1942
563	2506	1937
564	2510	1932
565	2514	1928
566	2518	1923
567	2522	1918
568	2526	1913
569	2530	1909
570	2534	1904
571	2538	1899
572	2542	1894
573	2546	1890
574	2550	1885
575	2554	1880
576	2558	1875
577	2563	1871
578	2567	1866
579	2570	1861
580	2574	1856
581	2579	1852
582	2583	1847
583	2587	1843
584	2591	1838
585	2595	1833
586	2599	1828
587	2603	1823
588	2607	1819
589	2610	1814
590	2615	1809
591	2619	1805
592	2623	1800
593	2627	1796
594	2631	1791
595	2635	1786
596	2639	1782
597	2644	1777
598	2647	1772
599	2651	1767
600	2656	1763
601	2660	1758
602	2664	1753
603	2668	1749
604	2672	1744
605	2676	1740
606	2680	1735
607	2685	1731
608	2690	1727
609	2696	1723
610	2704	1721
611	2712	1719
612	2721	1718
613	2726	1714
614	2733	1710
615	2740	1708
616	2750	1707
617	2759	1705
618	2768	1704
619	2774	1700
620	2781	1697
621	2787	1693
622	2794	1690
623	2799	1686
624	2804	1682
625	2812	1680
626	2818	1676
627	2825	1673
628	2830	1669
629	2836	1665
630	2844	1663
631	2850	1659
632	2861	1659
633	2867	1655
634	2875	1652
635	2881	1649
636	2889	1646
637	2895	1642
638	2900	1638
639	2905	1634
640	2909	1629
641	2914	1625
642	2918	1620
643	2923	1616
644	2928	1611
645	2932	1606
646	2936	1602
647	2940	1597
648	2944	1592
649	2949	1587
650	2952	1583
651	2956	1578
652	2961	1573
653	2965	1568
654	2968	1563
655	2973	1559
656	2976	1554
657	2981	1549
658	2985	1544
659	2989	1539
660	2993	1535
661	2997	1530
662	3001	1525
663	3005	1520
664	3010	1516
665	3014	1511
666	3018	1506
667	3021	1501
668	3026	1497
669	3030	1492
670	3033	1487
671	3037	1482
672	3041	1478
673	3045	1473
674	3049	1468
675	3054	1463
676	3058	1459
677	3062	1454
678	3065	1449
679	3070	1445
680	3074	1440
681	3078	1435
682	3082	1430
683	3086	1425
684	3090	1421
685	3094	1416
686	3099	1411
687	3103	1407
688	3107	1402
689	3111	1397
690	3115	1392
691	3118	1388
692	3122	1383
693	3126	1378
694	3131	1374
695	3135	1369
696	3139	1364
697	3143	1359
698	3147	1355
699	3151	1350
700	3156	1346
701	3160	1341
702	3164	1336
703	3168	1332
704	3172	1327
705	3176	1322
706	3180	1318
707	3184	1313
708	3188	1308
709	3192	1304
710	3196	1299
711	3200	1294
712	3204	1289
713	3210	1285
714	3214	1281
715	3218	1276
716	3222	1272
717	3227	1267
718	3230	1262
719	3234	1258
720	3239	1253
721	3243	1248
722	3247	1244
723	3251	1239
724	3255	1234
725	3259	1230
726	3263	1225
727	3267	1220
728	3272	1216
729	3276	1211
730	3279	1206
731	3284	1202
732	3287	1197
733	3291	1192
734	3296	1188
735	3300	1183
736	3304	1179
737	3308	1174
738	3312	1169
739	3317	1165
740	3321	1160
741	3325	1156
742	3329	1151
743	3333	1146
744	3337	1142
745	3342	1137
746	3346	1133
747	3349	1128
748	3353	1123
749	3357	1119
750	3362	1114
751	3366	1110
752	3370	1105
753	3374	1100
754	3378	1096
755	3382	1091
756	3386	1087
757	3390	1082
758	3394	1077
759	3398	1073
760	3402	1068
761	3406	1063
762	3410	1059
763	3414	1054
764	3418	1050
765	3423	1045
766	3427	1041
767	3430	1036
768	3434	1031
769	3439	1027
770	3443	1022
771	3446	1018
772	3450	1013
773	3454	1008
774	3458	1004
775	3463	999
776	3467	995
777	3473	991
778	3477	986
779	3481	981
780	3485	977
781	3489	972
782	3493	968
783	3497	963
784	3501	959
785	3505	954
786	3509	949
787	3513	945
788	3518	940
789	3522	936
790	3526	931
791	3529	927
792	3534	922
793	3538	917
794	3542	913
795	3546	908
796	3550	904
797	3553	899
798	3557	894
799	3561	890
800	3565	885
801	3569	881
802	3573	876
803	3577	872
804	3581	867
805	3585	863
806	3589	858
807	3593	853
808	3598	849
809	3602	844
810	3606	840
811	3610	835
812	3614	831
813	3618	826
814	3622	822
815	3627	817
816	3631	813
817	3634	808
818	3639	804
819	3643	799
820	3647	795
821	3651	790
822	3656	786
823	3660	781
824	3664	777
825	3668	772
826	3672	768
827	3676	763
828	3680	759
829	3686	755
830	3690	750
831	3694	745
832	3698	741
833	3702	736
834	3706	732
835	3710	727
836	3714	723
837	3719	718
838	3722	714
839	3726	709
840	3730	705
841	3735	700
842	3739	696
843	3743	691
844	3747	687
845	3751	682
846	3755	678
847	3759	673
848	3762	669
849	3767	664
850	3771	660
851	3774	655
852	3778	651
853	3782	646
854	3787	642
855	3791	637
856	3796	633
857	3800	628
858	3804	624
859	3808	619
860	3812	615
861	3816	610
862	3820	606
863	3824	602
864	3829	597
865	3833	593
866	3837	588
867	3841	584
868	3845	579
869	3849	575
870	3853	570
871	3857	566
872	3861	561
873	3865	557
874	3869	552
875	3873	548
876	3877	543
877	3880	539
878	3884	534
879	3888	530
880	3892	525
881	3897	521
882	3901	516
883	3905	512
884	3909	508
885	3913	503
886	3918	499
887	3922	494
888	3925	490
889	3929	485
890	3933	481
891	3937	476
892	3941	472
893	3945	467
894	3949	463
895	3953	458
896	3957	454
897	3962	450
898	3966	445
899	3969	441
900	3973	436
901	3978	432
902	3981	427
903	3985	423
904	3989	418
905	3993	414
906	3997	409
907	4001	405
908	4005	400
909	4010	396
910	4013	392
911	4017	387
912	4021	383
913	4025	378
914	4029	374
915	4033	369
916	4037	365
917	4041	361
918	4045	356
919	4049	352
920	4053	347
921	4058	343
922	4062	338
923	4067	334
924	4071	330
925	4075	325
926	4079	321
927	4084	316
928	4090	312
929	4095	308
930	4101	303
931	4107	299
932	4113	295
933	4122	291
934	4127	286
935	4133	282
936	4139	278
937	4145	274
938	4152	269
939	4157	265
940	4163	261
941	4169	256
942	4176	252
943	4184	248
944	4190	243
945	4197	239
946	4203	235
947	4209	230
948	4215	226
949	4222	222
950	4230	217
951	4235	213
952	4242	209
953	4252	205
954	4259	200
955	4264	196
956	4269	191
957	4274	187
958	4278	182
959	4283	178
960	4287	173
961	4290	169
962	4294	165
963	4298	160
964	4303	156
965	4306	151
966	4310	147
967	4314	142
968	4318	138
