epoch,beta,lr,train_total_loss,train_recon_loss,train_mse_loss,train_ce_loss,train_kl_loss,train_contrast_loss,train_separation_loss,train_acc,train_proto_dist,val_total_loss,val_recon_loss,val_mse_loss,val_ce_loss,val_kl_loss,val_contrast_loss,val_separation_loss,val_acc,val_proto_dist
0,0.01,0.008,6.537757604069441,4.239836227688801,2.1599134064350434,2.079922843330908,0.04798035609194922,7.019675633245369,0.9576939997567592,0.36065628926935595,1.0450459534178789,10.252242393791676,1.3592352867126465,0.12449713051319122,1.2347381114959717,0.0370987132191658,8.855908393859863,0.0,0.5988215804100037,2.1550354957580566
1,0.01,0.008,3.2456233167531154,1.1571268625282831,0.08102382464146732,1.0761030316352844,0.027040350486590762,6.960753255745702,0.0,0.677283285144506,2.6178956869486214,9.772502928972244,0.9455517530441284,0.07335419207811356,0.8721975684165955,0.020682483911514282,8.806268692016602,0.0,0.7960809469223022,3.268151044845581
2,0.01,0.008,2.876439332376241,0.785279347650542,0.06434412703320787,0.7209352229971264,0.01712991483738367,6.969962013441456,0.0,0.8050858041578195,3.829794877870077,9.460850272327662,0.5935013294219971,0.025820404291152954,0.5676809549331665,0.014538083225488663,8.852810859680176,0.0,0.8408567309379578,4.373013973236084
3,0.01,0.008,2.6481693810268467,0.5574245206846945,0.03848002532483319,0.5189444942614956,0.012627435617002428,6.9687283888495815,0.0,0.8572203250423404,4.794150355992797,9.330663648433983,0.5011184811592102,0.01286308653652668,0.4882553815841675,0.011532929725944996,8.818012237548828,0.0,0.8575157523155212,5.000932216644287
4,0.01,0.008,2.4850167618922576,0.39814321964027255,0.02408149557449015,0.3740617238186501,0.010112598847314093,6.955907688094006,0.0,0.8904234501887891,5.366911335132046,9.105521624907851,0.2920612394809723,0.016024792566895485,0.27603644132614136,0.009102856740355492,8.804357528686523,0.0,0.921464741230011,5.591761589050293
5,0.01,0.008,2.5118613412983586,0.42808710547571394,0.08968939048212927,0.33839771964333276,0.008503432246039482,6.945630325439228,0.0,0.8904618404128335,5.911699187257659,9.093917720019817,0.2812472879886627,0.03809491544961929,0.24315237998962402,0.007940970361232758,8.804729461669922,0.0,0.9373560547828674,6.224769592285156
6,0.01,0.008,2.3165448754659743,0.23434036743142975,0.0463179409943283,0.18802242738901837,0.007254429019676379,6.940439555803153,0.0,0.9494874853759785,6.582602126006705,8.985733634326607,0.17755362391471863,0.0400228388607502,0.13753078877925873,0.0068475366570055485,8.801332473754883,0.0,0.9641678333282471,6.735503196716309
7,0.01,0.008,2.2841394457243,0.20484887396674192,0.05244124374130434,0.1524076302895089,0.0065447455683965644,6.930750073613347,0.0,0.9550973206245928,7.004021070513152,8.966095000039786,0.1666625589132309,0.03785313665866852,0.12880942225456238,0.006424590479582548,8.793007850646973,0.0,0.9608283638954163,7.153486251831055
8,0.01,0.008,2.2236585145500425,0.14525796293626547,0.018875389371332724,0.1263825742926,0.006052438805854584,6.92779980127583,0.0,0.9644694413248386,7.217548959671133,8.946353748440742,0.15266254544258118,0.03640209510922432,0.11626045405864716,0.005740687251091003,8.78795051574707,0.0,0.9668163657188416,7.045040607452393
9,0.01,0.008,2.2023505230207703,0.12493244739803108,0.027764552998235242,0.09716789406113309,0.005573922195025612,6.924540744659649,0.0,0.973491247514542,7.185380871231492,8.971096186432987,0.1770954132080078,0.1000865250825882,0.07700888812541962,0.0053483531810343266,8.788652420043945,0.0,0.9772378206253052,7.156869411468506
10,0.01,0.008,2.1832150507910537,0.10619129220376143,0.015711456148242188,0.09047983696624746,0.005090796242236945,6.923242515076583,0.0,0.9732465076212216,7.3586801978821255,8.889590870589018,0.09829367697238922,0.006576735991984606,0.0917169377207756,0.004862066358327866,8.7864351272583,0.0,0.9757600426673889,7.394631385803223
11,0.01,0.008,2.172957431772124,0.09683004680664006,0.021883851370295963,0.07494619496038564,0.004571837889080918,6.920271791462817,0.0,0.9790962846624763,7.542688749346159,8.868097256869078,0.08220067620277405,0.008018067106604576,0.07418260723352432,0.004243176430463791,8.78165340423584,0.0,0.9801934361457825,7.4521484375
12,0.01,0.008,2.15866946969044,0.08330661792500306,0.011721344859195137,0.07158527334726414,0.004156616950036926,6.91773728715114,0.0,0.979825707266899,7.598447514986231,8.86311624897644,0.078511081635952,0.01703827828168869,0.061472803354263306,0.0040980796329677105,8.78050708770752,0.0,0.9838975667953491,7.601680278778076
13,0.01,0.008,2.1563251815205415,0.08168067111283614,0.024925633477783905,0.056755037635052234,0.0039486593614888425,6.915349778730688,0.0,0.9833720443582652,7.786291342695456,8.870162068400532,0.0887545794248581,0.04168658331036568,0.04706799238920212,0.003831996116787195,8.777575492858887,0.0,0.9844541549682617,7.6829681396484375
14,0.01,0.008,2.156389395786445,0.08266792257822117,0.025006488079996895,0.05766143428312766,0.003681457334333065,6.912281916241096,0.0,0.9831608962954116,7.856903311661479,8.850001680897549,0.0699392706155777,0.026221988722682,0.04371728003025055,0.0036093920934945345,8.776453018188477,0.0,0.9838399887084961,7.7352519035339355
