step,mloss,gloss,loss
164.0,0.0739,0.5183,0.5922
165.0,0.0499,0.5061,0.556
166.0,0.0382,0.5242,0.5624
167.0,0.0497,0.5439,0.5936
168.0,0.0286,0.5772,0.6058
169.0,0.043,0.5404,0.5834
170.0,0.0333,0.4972,0.5305
171.0,0.0413,0.5378,0.5791
172.0,0.068,0.5359,0.6039000000000001
173.0,0.0595,0.5166,0.5761
174.0,0.0706,0.5083,0.5789
175.0,0.0376,0.5076,0.5452
176.0,0.1831,0.488,0.6711
177.0,0.1212,0.5026,0.6238
178.0,0.1122,0.4724,0.5846
179.0,0.0269,0.4664,0.49329999999999996
180.0,0.0543,0.4936,0.5478999999999999
181.0,0.1163,0.499,0.6153
182.0,0.1056,0.4726,0.5782
183.0,0.0391,0.4616,0.5007
184.0,0.0341,0.4353,0.46940000000000004
185.0,0.049,0.4754,0.5244
186.0,0.0587,0.4531,0.5118
187.0,0.0415,0.4648,0.5063
188.0,0.0399,0.4236,0.46349999999999997
189.0,0.116,0.4675,0.5835
190.0,0.0415,0.4686,0.5101
191.0,0.0963,0.4326,0.5288999999999999
192.0,0.0515,0.463,0.5145000000000001
193.0,0.0927,0.4563,0.5489999999999999
194.0,0.0475,0.4662,0.5137
195.0,0.055,0.4714,0.5264
196.0,0.0602,0.4453,0.5055
197.0,0.0836,0.4398,0.5234
198.0,0.0423,0.4376,0.4799
199.0,0.0612,0.4309,0.4921
200.0,0.0751,0.4211,0.4962
201.0,0.0382,0.4563,0.4945
202.0,0.3479,0.4221,0.77
203.0,0.0623,0.4146,0.47690000000000005
204.0,0.0672,0.4282,0.4954
205.0,0.1429,0.4261,0.569
206.0,0.0727,0.4113,0.484
207.0,0.0384,0.4153,0.4537
208.0,0.0766,0.4286,0.5052
209.0,0.0848,0.4285,0.5133
210.0,0.0355,0.4077,0.4432
211.0,0.0916,0.4574,0.5489999999999999
212.0,0.0456,0.4421,0.4877
213.0,0.0498,0.4399,0.4897
214.0,0.0793,0.3992,0.4785
215.0,0.0691,0.4378,0.5069
216.0,0.0736,0.4204,0.494
217.0,0.0552,0.4615,0.5167
218.0,0.0422,0.4266,0.4688
219.0,0.0403,0.4122,0.4525
220.0,0.0471,0.437,0.4841
221.0,0.0527,0.405,0.4577
222.0,0.0297,0.4097,0.4394
223.0,0.1006,0.4102,0.5108
224.0,0.0314,0.4251,0.45649999999999996
225.0,0.0796,0.4101,0.4897
226.0,0.1106,0.4042,0.5148
227.0,0.0513,0.4292,0.48050000000000004
228.0,0.036,0.4164,0.45239999999999997
229.0,0.0241,0.404,0.42810000000000004
230.0,0.0411,0.4241,0.46519999999999995
231.0,0.0479,0.3989,0.4468
232.0,0.0466,0.3484,0.395
233.0,0.064,0.4255,0.4895
234.0,0.0732,0.387,0.4602
235.0,0.0449,0.4214,0.4663
236.0,0.1508,0.4136,0.5644
237.0,0.0315,0.3815,0.41300000000000003
238.0,0.0283,0.3892,0.4175
239.0,0.0614,0.4141,0.47550000000000003
240.0,0.0961,0.4058,0.5019
241.0,0.0573,0.4173,0.4746
242.0,0.0578,0.4254,0.4832
243.0,0.0994,0.3898,0.48919999999999997
244.0,0.0589,0.4159,0.4748
245.0,0.067,0.4038,0.4708
246.0,0.0379,0.3989,0.43679999999999997
247.0,0.0437,0.402,0.44570000000000004
248.0,0.0627,0.391,0.4537
249.0,0.0467,0.4035,0.45020000000000004
250.0,0.055,0.4146,0.4696
251.0,0.0773,0.3856,0.4629
252.0,0.0644,0.3908,0.4552
253.0,0.1017,0.409,0.5106999999999999
254.0,0.0428,0.3874,0.4302
255.0,0.1089,0.4043,0.5132
256.0,0.0627,0.3828,0.4455
257.0,0.0658,0.3811,0.44689999999999996
258.0,0.0586,0.3999,0.45849999999999996
259.0,0.0716,0.3905,0.4621
260.0,0.0971,0.3781,0.4752
261.0,0.0732,0.4004,0.47359999999999997
262.0,0.0678,0.3894,0.45720000000000005
263.0,0.0742,0.38,0.4542
264.0,0.0469,0.3792,0.4261
265.0,0.0525,0.402,0.4545
266.0,0.095,0.3836,0.4786
267.0,0.0428,0.3879,0.4307
268.0,0.0617,0.3885,0.4502
269.0,0.0378,0.386,0.4238
270.0,0.0831,0.37,0.4531
271.0,0.0483,0.3961,0.4444
272.0,0.105,0.3961,0.5011
273.0,0.1798,0.3872,0.567
274.0,0.0736,0.3956,0.4692
275.0,0.1661,0.3973,0.5634
276.0,0.0954,0.4141,0.5095000000000001
277.0,0.0781,0.4051,0.4832
278.0,0.1522,0.4053,0.5575
279.0,0.062,0.406,0.468
280.0,0.048,0.4121,0.4601
281.0,0.1009,0.4117,0.5126000000000001
282.0,0.0389,0.38,0.4189
283.0,0.0425,0.4233,0.4658
