iter	Logloss
0	0.6815649009
1	0.6712432911
2	0.6630486831
3	0.6548332724
4	0.6467607272
5	0.6402591334
6	0.6336201593
7	0.6283286046
8	0.6231481567
9	0.6181536353
10	0.6133306474
11	0.6090824226
12	0.6050996416
13	0.6001053417
14	0.5956882548
15	0.5926394117
16	0.5899017329
17	0.5872802237
18	0.5842537492
19	0.581844613
20	0.5803741514
21	0.5779215579
22	0.5759774935
23	0.5733575257
24	0.5716468442
25	0.5700518426
26	0.5685108082
27	0.5673878794
28	0.5663411331
29	0.5649666604
30	0.5637025189
31	0.5626893345
32	0.5613983909
33	0.5602124967
34	0.5591924072
35	0.5581542948
36	0.5572827138
37	0.5562820273
38	0.5554836475
39	0.5546679403
40	0.553848106
41	0.553100699
42	0.5522500431
43	0.5514048445
44	0.5502966882
45	0.5496683819
46	0.5487161398
47	0.5478658213
48	0.5469150651
49	0.5461520733
50	0.5455432756
51	0.5448752739
52	0.5443091177
53	0.5437193252
54	0.5432541967
55	0.542401899
56	0.5418318023
57	0.5413486543
58	0.5409258449
59	0.5406156727
60	0.5401692783
61	0.5397988868
62	0.539413392
63	0.5389715678
64	0.5385575657
65	0.5378315698
66	0.5371980925
67	0.5367937509
68	0.5364170497
69	0.5361032556
70	0.5357041805
71	0.5353535554
72	0.5347938061
73	0.5343351011
74	0.5337169815
75	0.5332462236
76	0.5327929705
77	0.5322138209
78	0.5317161798
79	0.5311126184
80	0.5305786659
81	0.5301626129
82	0.5298380045
83	0.5293245202
84	0.5288359339
85	0.5284214452
86	0.5280878187
87	0.5277896528
88	0.5273291784
89	0.5269642842
90	0.5265726231
91	0.5261852962
92	0.5258117826
93	0.5254220303
94	0.5249462495
95	0.5245501659
96	0.5243228967
97	0.5241076565
98	0.5237940676
99	0.5235189372
100	0.5231721557
101	0.5227332014
102	0.5224405319
103	0.5221717153
104	0.5218029755
105	0.5215219755
106	0.5213227974
107	0.5210381195
108	0.5207545664
109	0.5205558249
110	0.5201988726
111	0.5199746217
112	0.519796133
113	0.5195471149
114	0.5192418006
115	0.5189625476
116	0.5186418103
117	0.5184149145
118	0.518159773
119	0.5180264752
120	0.517902721
121	0.5175367314
122	0.5172395151
123	0.5168146043
124	0.5165559502
125	0.5161378953
126	0.5159102626
127	0.5156805739
128	0.515437764
129	0.5151437452
130	0.5148642276
131	0.5145951807
132	0.5143796229
133	0.514131542
134	0.5138229529
135	0.5135130569
136	0.5131280295
137	0.5128394996
138	0.5126563536
139	0.5123632215
140	0.5122129544
141	0.5119535043
142	0.5117624989
143	0.5116062399
144	0.5110946955
145	0.5109423555
146	0.5107272349
147	0.5105430384
148	0.5103291728
149	0.5100894642
150	0.5097311989
151	0.509443149
152	0.5092645471
153	0.5090105084
154	0.5087651857
155	0.5084420031
156	0.5081679402
157	0.5079102677
158	0.5076769617
159	0.5075671943
160	0.5074260989
161	0.5071027536
162	0.5069092619
163	0.5066634987
164	0.5064418997
165	0.506141168
166	0.5059121143
167	0.5056734523
168	0.5054282367
169	0.5051987439
170	0.5049873704
171	0.5046382047
172	0.5044058935
173	0.5042413496
174	0.503998552
175	0.5037147039
176	0.5034357345
177	0.5032754533
178	0.5031548423
179	0.5029725975
180	0.5027574934
181	0.5025942518
182	0.5023358656
183	0.5021580063
184	0.5019983186
185	0.5016562959
186	0.5014667431
187	0.5013082877
188	0.501046311
189	0.500805535
190	0.5007079098
191	0.5002264136
192	0.5000994054
193	0.4998378951
194	0.4996583559
195	0.4994299665
196	0.4992126193
197	0.4988831981
198	0.4987042981
199	0.4985219005
200	0.4983777245
201	0.4982368362
202	0.497943743
203	0.4977705353
204	0.4974881259
205	0.4974001316
206	0.4971061471
207	0.4969111144
208	0.4967324974
209	0.496493996
210	0.4962464344
211	0.4960866861
212	0.4959065222
213	0.495769684
214	0.4955028547
215	0.4954105558
216	0.4951958329
217	0.4950711824
218	0.4948846583
219	0.4946319634
220	0.494467578
221	0.4942728944
222	0.4940996346
223	0.4939882649
224	0.4937330653
225	0.4935926352
226	0.4934511199
227	0.4930949358
228	0.4929442449
229	0.492772492
230	0.4926191701
231	0.4923608977
232	0.4921520295
233	0.4918658418
234	0.4916769095
235	0.4913948759
236	0.4912983497
237	0.4911910045
238	0.4908994757
239	0.4907300061
240	0.4905235061
241	0.4901579976
242	0.4900302705
243	0.4897951765
244	0.4896218987
245	0.4893994656
246	0.4892357128
247	0.4891288482
248	0.4890524366
249	0.4888464783
250	0.488640205
